#                                                                                            --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                                     accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#                             ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
HWI-ST185:476:D28N0ACXX:7:2314:12880:80267_1_93_- -          2-Hacid_dh           PF00389.28   0.00093   24.6   0.0   0.00093   24.6   0.0   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2316:4853:5255_1_93_-    -          2-Hacid_dh_C         PF02826.17   1.1e-08   40.5   0.1   1.1e-08   40.4   0.1   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2313:17339:84047_1_93_-  -          2-Hacid_dh_C         PF02826.17   1.6e-08   40.0   0.1   1.6e-08   39.9   0.1   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2314:10387:43782_1_93_+  -          2-Hacid_dh_C         PF02826.17   3.1e-08   39.0   0.2   3.2e-08   39.0   0.2   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2315:14742:89205_1_93_+  -          2-Hacid_dh_C         PF02826.17   4.1e-08   38.6   0.0   4.2e-08   38.6   0.0   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2313:12921:71674_1_93_+  -          2-Hacid_dh_C         PF02826.17   7.4e-08   37.8   0.7   7.4e-08   37.8   0.7   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2315:16598:74528_1_93_-  -          2-Hacid_dh_C         PF02826.17   1.6e-07   36.6   0.0   1.7e-07   36.6   0.0   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2313:8418:70247_1_93_-   -          2-Hacid_dh_C         PF02826.17   2.6e-07   36.0   0.0   2.7e-07   36.0   0.0   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2315:8214:21349_1_93_-   -          2-Hacid_dh_C         PF02826.17   3.5e-07   35.6   0.1   3.5e-07   35.6   0.1   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2315:15137:89424_1_93_-  -          2-Hacid_dh_C         PF02826.17   4.7e-07   35.1   0.1   4.9e-07   35.1   0.1   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2313:11731:38563_1_93_-  -          2-Hacid_dh_C         PF02826.17   6.8e-07   34.6   0.0     7e-07   34.6   0.0   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2315:1404:69468_1_93_+   -          2-Hacid_dh_C         PF02826.17   7.1e-07   34.6   0.5   7.5e-07   34.5   0.5   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2314:12977:9552_1_93_+   -          2-Hacid_dh_C         PF02826.17   1.2e-06   33.8   0.2   1.3e-06   33.8   0.2   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2314:18982:59858_1_93_+  -          2-Hacid_dh_C         PF02826.17   1.4e-06   33.6   0.0   1.4e-06   33.6   0.0   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2314:20913:20191_1_93_-  -          2-Hacid_dh_C         PF02826.17   1.5e-06   33.5   0.0   1.5e-06   33.5   0.0   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2314:12941:73309_1_93_-  -          2-Hacid_dh_C         PF02826.17   1.5e-06   33.5   0.0   1.5e-06   33.5   0.0   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2314:10052:14310_1_93_+  -          2-Hacid_dh_C         PF02826.17   1.6e-06   33.4   0.3   1.7e-06   33.3   0.3   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2315:2047:2027_1_93_+    -          2-Hacid_dh_C         PF02826.17   1.7e-06   33.4   0.1   1.7e-06   33.3   0.1   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2316:14506:20725_1_93_-  -          2-Hacid_dh_C         PF02826.17   1.7e-06   33.3   0.4   1.8e-06   33.3   0.4   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2314:1366:31908_1_93_+   -          2-Hacid_dh_C         PF02826.17   1.8e-06   33.2   0.1   1.9e-06   33.2   0.1   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2315:19433:51514_1_93_+  -          2-Hacid_dh_C         PF02826.17   2.8e-06   32.6   0.1   2.9e-06   32.6   0.1   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2315:14347:46785_1_93_+  -          2-Hacid_dh_C         PF02826.17   2.8e-06   32.6   0.0   2.9e-06   32.6   0.0   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2316:5924:25703_1_93_-   -          2-Hacid_dh_C         PF02826.17     3e-06   32.5   0.2   3.1e-06   32.5   0.2   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2316:13295:4055_1_93_+   -          2-Hacid_dh_C         PF02826.17     3e-06   32.5   0.0   3.1e-06   32.5   0.0   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2315:16027:86989_1_93_-  -          2-Hacid_dh_C         PF02826.17   3.1e-06   32.5   0.1   3.3e-06   32.4   0.1   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2316:10937:6121_1_93_-   -          2-Hacid_dh_C         PF02826.17   3.4e-06   32.4   0.0   3.4e-06   32.4   0.0   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2315:17873:97574_1_93_+  -          2-Hacid_dh_C         PF02826.17     4e-06   32.1   0.3   4.1e-06   32.1   0.3   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2314:14302:79880_1_93_+  -          2-Hacid_dh_C         PF02826.17   4.4e-06   32.0   1.0   4.4e-06   32.0   1.0   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2313:10402:78657_1_93_+  -          2-Hacid_dh_C         PF02826.17     5e-06   31.8   1.5   5.2e-06   31.7   1.5   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2315:18358:96044_1_93_-  -          2-Hacid_dh_C         PF02826.17   5.2e-06   31.7   0.0   5.2e-06   31.7   0.0   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2314:5407:51103_1_93_-   -          2-Hacid_dh_C         PF02826.17   5.3e-06   31.7   0.0   5.4e-06   31.7   0.0   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2316:12447:21307_1_93_-  -          2-Hacid_dh_C         PF02826.17   5.3e-06   31.7   0.4   5.3e-06   31.7   0.4   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2316:16170:92671_1_93_+  -          2-Hacid_dh_C         PF02826.17   5.5e-06   31.7   0.1   5.5e-06   31.7   0.1   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2314:16855:49687_1_93_-  -          2-Hacid_dh_C         PF02826.17   5.5e-06   31.7   1.3   5.6e-06   31.6   1.3   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2315:10434:26707_1_93_-  -          2-Hacid_dh_C         PF02826.17   6.4e-06   31.5   0.0   6.6e-06   31.4   0.0   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2316:20138:3300_1_85_+   -          2-Hacid_dh_C         PF02826.17   6.7e-06   31.4   0.0   6.7e-06   31.4   0.0   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2315:4048:34760_1_93_-   -          2-Hacid_dh_C         PF02826.17   6.9e-06   31.4   0.0     7e-06   31.3   0.0   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2316:19766:9484_1_93_-   -          2-Hacid_dh_C         PF02826.17   7.1e-06   31.3   0.6   7.1e-06   31.3   0.6   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2315:15702:20457_1_93_+  -          2-Hacid_dh_C         PF02826.17   7.5e-06   31.2   0.1   7.6e-06   31.2   0.1   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2313:8543:38684_1_93_+   -          2-Hacid_dh_C         PF02826.17   7.6e-06   31.2   1.2   7.6e-06   31.2   1.2   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2313:14122:40229_1_93_+  -          2-Hacid_dh_C         PF02826.17   8.3e-06   31.1   0.1   8.7e-06   31.0   0.1   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2314:15394:84361_1_93_+  -          2-Hacid_dh_C         PF02826.17   8.5e-06   31.0   0.1   8.5e-06   31.0   0.1   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2314:10554:22588_1_93_-  -          2-Hacid_dh_C         PF02826.17   9.2e-06   30.9   0.1   9.2e-06   30.9   0.1   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2315:5175:10171_1_93_+   -          2-Hacid_dh_C         PF02826.17   1.1e-05   30.7   0.0   1.1e-05   30.7   0.0   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2316:12734:17979_1_93_+  -          2-Hacid_dh_C         PF02826.17   1.2e-05   30.6   0.1   1.2e-05   30.6   0.1   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2315:2968:7761_1_93_-    -          2-Hacid_dh_C         PF02826.17   1.2e-05   30.6   0.0   1.2e-05   30.6   0.0   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2313:19220:59726_1_93_+  -          2-Hacid_dh_C         PF02826.17   1.3e-05   30.5   0.0   1.3e-05   30.5   0.0   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2313:9509:54176_1_93_+   -          2-Hacid_dh_C         PF02826.17   1.3e-05   30.4   0.0   1.3e-05   30.4   0.0   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2314:3390:73327_1_93_+   -          2-Hacid_dh_C         PF02826.17   1.4e-05   30.3   0.9   1.5e-05   30.2   0.9   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2316:15721:98135_1_93_+  -          2-Hacid_dh_C         PF02826.17   1.4e-05   30.3   0.2   1.4e-05   30.3   0.2   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2316:5116:53582_1_93_-   -          2-Hacid_dh_C         PF02826.17   1.5e-05   30.3   0.1   1.5e-05   30.2   0.1   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2316:6134:17229_1_93_+   -          2-Hacid_dh_C         PF02826.17   1.5e-05   30.3   0.0   1.5e-05   30.2   0.0   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2316:10622:43900_1_93_+  -          2-Hacid_dh_C         PF02826.17   1.6e-05   30.1   0.0   1.7e-05   30.1   0.0   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2315:14519:57638_1_93_+  -          2-Hacid_dh_C         PF02826.17   1.7e-05   30.1   0.0   1.7e-05   30.1   0.0   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2314:11627:49183_1_93_+  -          2-Hacid_dh_C         PF02826.17   1.8e-05   30.0   0.0   1.8e-05   30.0   0.0   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2315:5275:99338_1_93_+   -          2-Hacid_dh_C         PF02826.17   1.9e-05   30.0   0.0   1.9e-05   29.9   0.0   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2314:14285:99106_1_93_-  -          2-Hacid_dh_C         PF02826.17   1.9e-05   29.9   0.0     2e-05   29.9   0.0   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2314:9519:25581_1_93_+   -          2-Hacid_dh_C         PF02826.17   1.9e-05   29.9   0.4     2e-05   29.8   0.4   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2314:7881:50462_1_93_+   -          2-Hacid_dh_C         PF02826.17   1.9e-05   29.9   0.0   1.9e-05   29.9   0.0   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2316:7613:71957_1_93_+   -          2-Hacid_dh_C         PF02826.17   2.1e-05   29.8   0.0   2.2e-05   29.7   0.0   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2313:12950:45166_1_93_+  -          2-Hacid_dh_C         PF02826.17   2.3e-05   29.7   0.2   2.3e-05   29.7   0.2   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2315:16340:81760_1_93_+  -          2-Hacid_dh_C         PF02826.17   2.4e-05   29.6   0.1   2.4e-05   29.6   0.1   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2315:2186:72453_1_93_-   -          2-Hacid_dh_C         PF02826.17   2.5e-05   29.6   0.0   2.5e-05   29.6   0.0   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2314:6363:8012_1_93_+    -          2-Hacid_dh_C         PF02826.17   2.6e-05   29.5   0.2   2.7e-05   29.4   0.2   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2314:2952:49202_1_93_+   -          2-Hacid_dh_C         PF02826.17   2.8e-05   29.4   0.0   2.9e-05   29.3   0.0   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2314:14372:95225_1_93_+  -          2-Hacid_dh_C         PF02826.17     3e-05   29.3   0.5   3.1e-05   29.2   0.5   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2316:4971:97800_1_93_+   -          2-Hacid_dh_C         PF02826.17   3.2e-05   29.2   0.0   3.3e-05   29.1   0.0   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2314:17860:66856_1_93_-  -          2-Hacid_dh_C         PF02826.17   3.3e-05   29.1   0.1   3.3e-05   29.1   0.1   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2314:16176:42921_1_93_-  -          2-Hacid_dh_C         PF02826.17   3.3e-05   29.1   0.6   3.4e-05   29.1   0.6   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2315:16953:45329_1_93_-  -          2-Hacid_dh_C         PF02826.17   3.4e-05   29.1   0.0   3.5e-05   29.0   0.0   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2314:2499:91523_1_93_-   -          2-Hacid_dh_C         PF02826.17   3.5e-05   29.0   0.4   3.6e-05   29.0   0.4   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2316:18548:62348_1_93_-  -          2-Hacid_dh_C         PF02826.17   3.5e-05   29.0   0.1   3.6e-05   29.0   0.1   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2315:15517:37926_1_93_+  -          2-Hacid_dh_C         PF02826.17   3.7e-05   29.0   0.0   3.9e-05   28.9   0.0   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2313:14576:70290_1_93_+  -          2-Hacid_dh_C         PF02826.17   3.9e-05   28.9   0.0   3.9e-05   28.9   0.0   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2315:6013:38095_1_93_+   -          2-Hacid_dh_C         PF02826.17     4e-05   28.9   0.0   4.3e-05   28.8   0.0   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2314:2995:83939_1_93_+   -          2-Hacid_dh_C         PF02826.17     4e-05   28.9   0.2     4e-05   28.9   0.2   1.0   1   0   0   1   1   1   1 -
HWI-ST185:476:D28N0ACXX:7:2314:3734:43998_1_93_-   -          2-Hacid_dh_C         PF02826.17   4.3e-05   28.8   0.0   4.5e-05   28.7   0.0   1.0   1   0   0   1   1   1   1 -
