GenomeID	Sp	Guild	MEBS_SS	Comp_mean	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	P23	P24-26	P27	P28	P29
GCF_000215085.1	Desulfotomaculum ruminis DSM 2154	SRB	10.187	70.7	66.7	20	100	76.5	75	55	77.8	100	80	50	41.4	100	66.7	100	71.4	43.8	41.7	28.6	85.7	57.1	0	57.1	72.7	100	100	100	83.3
GCF_000010785.1	Hydrogenobacter thermophilus TK-6	Sur	10.157	62	77.8	60	100	70.6	60	55	77.8	0	60	45	48.3	0	33.3	100	50	43.8	50	42.9	71.4	57.1	0	57.1	54.5	100	100	100	83.3
GCF_000025945.1	Desulfotalea psychrophila LSv54	SRB	10.151	61.5	66.7	20	0	70.6	75	55	77.8	100	80	50	41.4	0	33.3	100	57.1	43.8	41.7	42.9	85.7	42.9	0	42.9	72.7	100	100	100	83.3
GCF_001293165.1	Candidatus Thioglobus autotrophicus	Sur	9.92	61.9	66.7	60	0	70.6	70	50	77.8	100	60	50	51.7	0	33.3	100	50	37.5	41.7	28.6	71.4	71.4	0	57.1	63.6	100	100	100	83.3
GCF_000024205.1	Desulfotomaculum acetoxidans DSM 771	SRB	9.615	68.4	77.8	10	100	70.6	75	55	66.7	100	80	50	44.8	0	66.7	100	57.1	43.8	58.3	85.7	85.7	57.1	0	42.9	72.7	100	100	100	83.3
GCF_000143965.1	Desulfarculus baarsii DSM 2075	Sur	9.607	68.6	77.8	20	100	70.6	75	60	66.7	100	80	45	44.8	0	33.3	100	57.1	37.5	75	100	85.7	57.1	0	57.1	63.6	100	100	100	83.3
GCF_000233715.2	Desulfotomaculum gibsoniae DSM 7213	SRB	9.528	71.6	77.8	10	50	76.5	75	55	77.8	100	80	50	48.3	100	66.7	100	71.4	43.8	66.7	85.7	85.7	57.1	0	42.9	72.7	100	100	100	83.3
GCF_000186885.1	Desulfobulbus propionicus DSM 2032	SRB	9.442	67.1	77.8	40	0	70.6	75	60	66.7	100	80	50	44.8	0	66.7	100	57.1	50	75	85.7	85.7	57.1	0	57.1	63.6	100	100	100	83.3
GCF_000020365.1	Desulfobacterium autotrophicum HRM2	SRB	9.317	66.1	77.8	40	0	70.6	75	60	66.7	100	80	50	44.8	0	33.3	100	50	43.8	91.7	100	71.4	57.1	0	57.1	63.6	100	100	100	83.3
GCF_000021905.1	Desulfatibacillum alkenivorans AK-01	SRB	9.284	72.3	77.8	20	100	76.5	75	60	77.8	0	80	60	48.3	100	66.7	100	64.3	43.8	75	100	85.7	57.1	0	71.4	72.7	100	100	100	83.3
GCF_000020465.1	Chlorobium limicola DSM 245	GSB	9.23	59.4	33.3	50	0	76.5	70	55	77.8	0	80	45	44.8	0	66.7	100	50	43.8	50	42.9	71.4	71.4	0	57.1	54.5	100	100	100	83.3
GCF_000235605.1	Desulfosporosinus orientis DSM 765	SRB	9.128	72.5	77.8	30	0	76.5	75	60	77.8	100	80	55	48.3	100	66.7	100	64.3	43.8	91.7	100	85.7	57.1	0	57.1	72.7	100	100	100	83.3
GCF_000231385.2	Desulfosporosinus meridiei DSM 13257	SRB	9.06	75.8	88.9	20	100	76.5	75	60	77.8	100	80	45	51.7	100	66.7	100	64.3	43.8	91.7	100	85.7	57.1	0	57.1	72.7	100	100	100	83.3
GCF_000015125.1	Chlorobium phaeobacteroides DSM 266	GSB	8.974	60.6	44.4	60	50	76.5	70	55	77.8	0	80	45	48.3	0	33.3	100	50	37.5	50	42.9	71.4	71.4	0	57.1	54.5	100	100	100	83.3
GCF_000255115.2	Desulfosporosinus acidiphilus SJ4	SRB	8.91	73.5	100	50	0	76.5	75	55	77.8	100	80	55	48.3	100	66.7	100	64.3	43.8	91.7	100	85.7	57.1	0	57.1	63.6	100	100	100	83.3
GCF_000020505.1	Chlorobaculum parvum NCIB 8327	GSB	8.288	58	33.3	60	0	70.6	70	55	66.7	0	80	45	41.4	0	33.3	100	50	37.5	50	42.9	85.7	57.1	0	57.1	63.6	100	100	100	83.3
GCF_000266945.1	Desulfomonile tiedjei DSM 6799	SRB	8.238	74.6	88.9	40	100	64.7	75	45	77.8	100	80	50	48.3	100	66.7	100	64.3	37.5	83.3	100	85.7	57.1	0	42.9	72.7	100	100	100	83.3
GCF_000012865.1	Carboxydothermus hydrogenoformans Z-2901	Sur	8.907	65.5	55.6	20	0	76.5	70	60	77.8	0	80	50	41.4	100	66.7	100	64.3	43.8	83.3	85.7	85.7	57.1	0	42.9	63.6	100	100	100	75
GCF_000025705.1	Sideroxydans lithotrophicus ES-1	Sur	8.373	72.7	66.7	70	100	70.6	70	55	77.8	100	80	60	48.3	0	66.7	100	57.1	50	75	85.7	85.7	71.4	0	71.4	72.7	100	100	100	75
GCF_000020625.1	Prosthecochloris aestuarii DSM 271	GSB	8.362	57.7	33.3	50	0	76.5	65	55	77.8	0	80	55	44.8	0	33.3	100	42.9	37.5	50	42.9	71.4	71.4	0	57.1	54.5	100	100	100	75
GCF_000016085.1	Chlorobium phaeovibrioides DSM 265	GSB	8.116	57.2	33.3	60	0	76.5	70	50	77.8	0	60	55	41.4	0	33.3	100	42.9	37.5	50	42.9	71.4	71.4	0	57.1	54.5	100	100	100	75
GCF_000025605.1	Thermocrinis albus DSM 14484	SOM	8.087	57.6	77.8	60	0	58.8	55	45	77.8	0	60	45	48.3	0	33.3	100	50	37.5	50	42.9	71.4	71.4	0	57.1	54.5	100	100	100	75
GCF_000008625.1	Aquifex aeolicus VF5	SO/SR	7.631	61	66.7	60	0	52.9	50	40	77.8	0	60	50	48.3	0	66.7	100	57.1	31.2	33.3	42.9	85.7	71.4	100	28.6	72.7	100	100	100	75
GCF_000025545.1	Thioalkalivibrio sp. K90mix	CLSB	7.406	65.4	88.9	60	100	64.7	55	45	77.8	0	100	55	51.7	0	66.7	100	50	50	58.3	57.1	71.4	57.1	0	57.1	54.5	100	100	100	75
GCF_000512735.1	Thermocrinis ruber	SOM	7.002	60.4	66.7	60	0	58.8	50	45	77.8	0	80	55	44.8	0	66.7	100	57.1	43.8	50	42.9	85.7	71.4	0	57.1	63.6	100	100	100	75
GCF_000020525.1	Chloroherpeton thalassium ATCC 35110	GSB	6.913	59.4	33.3	60	0	58.8	50	60	77.8	100	80	35	37.9	0	33.3	100	57.1	37.5	50	42.9	85.7	28.6	0	57.1	63.6	100	100	100	75
GCF_000014865.1	Magnetococcus marinus MC-1	Sur	6.864	68.3	44.4	60	100	76.5	65	60	77.8	100	60	55	51.7	0	33.3	100	50	37.5	75	85.7	71.4	71.4	0	57.1	72.7	100	100	100	75
GCF_000513295.1	Magnetospirillum gryphiswaldense MSR-1 v2	Sur	6.505	72.5	44.4	60	100	76.5	65	60	77.8	100	80	60	51.7	0	66.7	100	57.1	50	91.7	100	85.7	71.4	0	57.1	72.7	100	100	100	75
GCF_000009985.1	Magnetospirillum magneticum AMB-1	Sur	6.094	72.5	44.4	70	100	70.6	70	50	77.8	100	80	55	48.3	0	66.7	100	57.1	50	91.7	100	85.7	71.4	0	57.1	81.8	100	100	100	75
GCF_000981545.1	Candidatus Filomicrobium marinum	Sur	5.464	77.5	88.9	70	100	58.8	65	40	77.8	100	80	60	51.7	100	66.7	100	71.4	50	91.7	100	85.7	57.1	0	85.7	72.7	100	100	100	75
GCF_000021565.1	Persephonella marina EX-H1	CLSB	9.754	62.2	77.8	60	0	76.5	55	55	77.8	100	80	55	44.8	0	66.7	100	50	43.8	25	28.6	71.4	71.4	0	42.9	54.5	100	100	100	66.7
GCF_000020785.1	Hydrogenobaculum sp. Y04AAS1	Sur	9.319	52.4	66.7	80	0	52.9	45	50	77.8	0	40	35	34.5	0	33.3	100	50	37.5	25	28.6	71.4	28.6	0	42.9	54.5	100	100	100	66.7
GCF_000092945.1	Thermincola potens JR	Sur	9.011	62.2	55.6	10	50	76.5	60	60	77.8	100	80	45	41.4	0	66.7	100	57.1	43.8	25	28.6	85.7	57.1	0	42.9	72.7	100	100	100	66.7
GCF_000010405.1	Candidatus Vesicomyosocius okutanii HA	Sur	8.94	52.6	66.7	60	0	52.9	70	35	55.6	100	40	45	44.8	0	33.3	0	50	31.2	25	0	71.4	71.4	0	42.9	63.6	100	100	100	66.7
GCF_000015105.1	Candidatus Ruthia magnifica str. Cm (Calyptogena magnifica)	Sur	8.87	53.6	66.7	60	0	58.8	70	40	55.6	100	40	50	44.8	0	33.3	0	50	31.2	25	0	71.4	71.4	0	57.1	63.6	100	100	100	66.7
GCF_000191045.1	Desulfurobacterium thermolithotrophum DSM 11699	SR	8.783	57.4	55.6	40	0	58.8	45	50	77.8	100	60	40	27.6	0	66.7	100	57.1	43.8	25	28.6	85.7	28.6	0	42.9	63.6	100	100	100	66.7
GCF_000010325.1	Nitratiruptor sp. SB155-2	Sur	8.51	64.5	66.7	60	50	70.6	55	55	77.8	100	60	50	44.8	0	66.7	100	57.1	50	33.3	42.9	85.7	57.1	0	57.1	63.6	100	100	100	66.7
GCF_000013105.1	Moorella thermoacetica ATCC 39073	Sur	8.447	55.8	33.3	0	0	76.5	65	60	66.7	0	80	50	41.4	0	66.7	100	50	43.8	41.7	28.6	71.4	71.4	0	42.9	63.6	100	100	100	66.7
GCF_000183725.1	Sulfuricurvum kujiense DSM 16994	Sur	8.168	61	88.9	60	0	58.8	55	40	77.8	100	80	50	48.3	0	66.7	100	50	37.5	25	28.6	85.7	57.1	0	28.6	63.6	100	100	100	66.7
GCF_000018405.1	Desulfococcus oleovorans Hxd3	SRB	8.007	60.3	66.7	30	0	70.6	75	45	77.8	0	80	55	37.9	0	33.3	100	50	50	75	100	71.4	42.9	0	57.1	63.6	100	100	100	66.7
GCF_000012965.1	Sulfurimonas denitrificans DSM 1251	CLSB	7.988	59	77.8	60	0	58.8	55	40	77.8	100	60	55	48.3	0	33.3	100	57.1	25	33.3	42.9	85.7	57.1	0	14.3	63.6	100	100	100	66.7
GCF_000021545.1	Sulfurihydrogenibium azorense Az-Fu1	SOM	7.907	56.3	66.7	60	0	64.7	45	50	77.8	0	80	35	44.8	0	66.7	100	50	43.8	41.7	28.6	71.4	42.9	0	42.9	54.5	100	100	100	66.7
GCF_000012485.1	Chlorobium luteolum DSM 273	GSB	7.742	57.6	33.3	30	0	76.5	70	60	77.8	0	60	60	44.8	0	33.3	100	50	37.5	50	42.9	85.7	71.4	0	57.1	63.6	100	100	100	66.7
GCF_000214095.2	Acidithiobacillus ferrivorans SS3	SOM	7.436	72.1	55.6	80	100	70.6	55	55	77.8	100	100	60	37.9	0	66.7	100	50	43.8	50	42.9	85.7	57.1	100	71.4	63.6	100	100	100	66.7
GCF_000020325.1	Sulfurihydrogenibium sp. YO3AOP1	SOM	7.035	61.3	66.7	60	0	64.7	55	50	66.7	100	80	45	51.7	0	66.7	100	50	43.8	41.7	28.6	71.4	71.4	0	42.9	54.5	100	100	100	66.7
GCF_000242915.1	Sulfurimonas gotlandica GD1	CLSB	6.995	63.5	77.8	60	50	58.8	55	40	77.8	100	60	50	51.7	0	33.3	100	57.1	25	58.3	85.7	85.7	57.1	0	28.6	63.6	100	100	100	66.7
GCF_000017505.1	Anaeromyxobacter sp. Fw109-5	Sur	6.463	72.2	66.7	50	100	76.5	60	60	77.8	100	80	60	44.8	0	66.7	100	57.1	50	91.7	100	85.7	57.1	0	71.4	72.7	100	100	100	66.7
GCF_000020805.1	Anaeromyxobacter sp. K	Sur	6.327	70.4	66.7	70	100	76.5	65	55	77.8	100	80	60	48.3	0	33.3	100	57.1	43.8	83.3	85.7	85.7	57.1	0	57.1	72.7	100	100	100	66.7
GCF_000281175.1	Caldilinea aerophila DSM 14535 = NBRC 104270	Sur	6.159	75.7	77.8	40	100	70.6	60	55	66.7	100	80	55	44.8	100	100	100	64.3	50	91.7	85.7	85.7	57.1	0	71.4	72.7	100	100	100	66.7
GCF_001020955.1	Thioalkalivibrio versutus	CLSB	5.777	63.2	55.6	60	100	70.6	50	55	77.8	0	100	45	48.3	0	66.7	100	50	43.8	50	42.9	71.4	57.1	0	57.1	63.6	100	100	100	66.7
GCF_001632845.1	Ectothiorhodospira sp. BSL-9	PSB	5.74	67.5	44.4	70	100	76.5	55	60	77.8	0	80	60	58.6	0	66.7	100	57.1	50	75	85.7	85.7	57.1	0	57.1	72.7	100	100	100	66.7
GCF_000013385.1	Anaeromyxobacter dehalogenans 2CP-C	Sur	5.633	69.2	66.7	70	100	64.7	65	50	77.8	100	80	50	48.3	0	33.3	100	57.1	43.8	83.3	85.7	85.7	57.1	0	57.1	63.6	100	100	100	66.7
GCF_000224005.2	Marichromatium purpuratum 984	PSB	5.372	72	44.4	60	100	70.6	65	55	77.8	100	80	60	62.1	0	66.7	100	57.1	43.8	83.3	100	85.7	71.4	0	57.1	81.8	100	100	100	66.7
GCF_000014785.1	Alkalilimnicola ehrlichii MLHE-1	SOM	5.308	69	44.4	50	100	64.7	65	50	77.8	100	80	60	51.7	0	33.3	100	57.1	43.8	75	85.7	85.7	71.4	0	57.1	81.8	100	100	100	66.7
GCF_000092125.1	Meiothermus silvanus DSM 9946	Sur	5.105	72.1	88.9	60	100	47.1	55	35	66.7	100	60	60	48.3	100	66.7	100	71.4	37.5	83.3	85.7	85.7	57.1	0	42.9	72.7	100	100	100	66.7
GCF_001046955.1	Marinovum algicola DG 898	Sur	4.992	77.5	77.8	60	100	64.7	60	45	77.8	100	100	60	44.8	100	100	100	71.4	68.8	91.7	100	85.7	42.9	0	57.1	72.7	100	100	100	66.7
GCF_000785705.2	Methylomonas denitrificans	Sur	4.924	69.8	44.4	60	100	64.7	60	50	77.8	100	80	65	48.3	0	66.7	100	57.1	43.8	75	85.7	85.7	71.4	0	57.1	63.6	100	100	100	66.7
GCF_001548075.1	Rhodovulum sulfidophilum	PSB	4.775	78.2	77.8	60	100	64.7	50	50	77.8	100	100	55	58.6	100	100	100	71.4	56.2	91.7	100	85.7	42.9	0	85.7	72.7	100	100	100	66.7
GCF_000016405.1	Rhodobacter sphaeroides ATCC 17025	Sur	4.504	77.6	77.8	60	100	64.7	50	50	77.8	100	100	60	62.1	100	100	100	71.4	50	91.7	100	85.7	42.9	0	57.1	81.8	100	100	100	66.7
GCF_000008325.1	Methylococcus capsulatus str. Bath	NS	4.401	66.9	55.6	60	100	58.8	55	40	77.8	100	80	70	48.3	0	66.7	100	57.1	56.2	41.7	28.6	85.7	71.4	0	57.1	63.6	100	100	100	66.7
GCF_000203895.1	Paracoccus denitrificans PD1222	CLSB	3.79	77.7	77.8	70	100	58.8	55	40	77.8	100	100	60	41.4	100	100	100	71.4	56.2	91.7	100	85.7	42.9	0	85.7	72.7	100	100	100	66.7
GCF_000299965.1	Cycloclasticus sp. P1	NS	3.398	72.8	44.4	50	100	64.7	55	45	77.8	100	100	55	41.4	0	100	100	57.1	56.2	91.7	100	85.7	71.4	0	85.7	63.6	100	100	100	66.7
GCF_000013685.1	Rhodopseudomonas palustris BisB5	NS	2.708	74.2	55.6	60	100	64.7	50	50	77.8	100	100	70	58.6	0	100	100	64.3	56.2	91.7	100	85.7	57.1	0	71.4	72.7	100	100	100	66.7
GCF_001029105.3	Pandoraea faecigallinarum	NS	2.195	78.2	55.6	60	100	64.7	50	50	77.8	100	100	70	48.3	100	100	100	71.4	50	91.7	100	85.7	57.1	0	85.7	81.8	100	100	100	66.7
GCF_000185805.1	Thermovibrio ammonificans HB-1	SRB/SR	7.886	57.1	66.7	40	0	58.8	40	50	77.8	100	60	35	27.6	0	66.7	100	57.1	43.8	25	28.6	85.7	28.6	0	42.9	63.6	100	100	100	58.3
GCF_000020825.1	Acidithiobacillus ferrooxidans ATCC 53993	SOM	7.655	65.7	55.6	50	100	76.5	60	55	77.8	100	80	60	37.9	0	66.7	100	50	43.8	41.7	28.6	85.7	57.1	0	57.1	63.6	100	100	100	58.3
GCF_000147355.1	Sulfurimonas autotrophica DSM 16294	CLSB	7.651	58	88.9	60	0	52.9	55	40	66.7	100	60	50	44.8	0	33.3	100	57.1	25	25	28.6	85.7	57.1	0	28.6	63.6	100	100	100	58.3
GCF_000010345.1	Sulfurovum sp. NBC37-1	CLSB	7.437	62.6	88.9	60	50	58.8	55	40	77.8	100	60	50	44.8	0	66.7	100	57.1	37.5	33.3	42.9	85.7	57.1	0	28.6	63.6	100	100	100	58.3
GCF_000186245.1	Nitratifractor salsuginis DSM 16511	Sur	7.414	62.1	88.9	60	50	58.8	55	40	77.8	100	60	40	44.8	0	66.7	100	57.1	31.2	33.3	42.9	85.7	57.1	0	28.6	63.6	100	100	100	58.3
GCF_000175575.2	Acidithiobacillus caldus ATCC 51756	SOM	6.525	65.9	66.7	80	100	47.1	45	40	77.8	100	80	35	31	0	66.7	100	50	43.8	41.7	28.6	85.7	28.6	100	42.9	63.6	100	100	100	58.3
GCF_000020385.1	Geobacter lovleyi SZ	Sur	6.524	61.9	55.6	40	0	64.7	55	60	77.8	100	80	50	37.9	0	66.7	100	57.1	50	50	42.9	85.7	28.6	0	71.4	63.6	100	100	100	58.3
GCF_000092245.1	Arcobacter nitrofigilis DSM 7299	Sur	6.395	73.4	77.8	60	100	64.7	55	45	77.8	100	100	55	44.8	100	100	100	64.3	37.5	58.3	85.7	85.7	57.1	0	28.6	72.7	100	100	100	58.3
GCF_000021945.1	Chloroflexus aggregans DSM 9485	GSB	6.291	62.5	77.8	40	100	47.1	50	45	66.7	0	100	30	44.8	0	100	100	50	37.5	83.3	85.7	71.4	28.6	0	42.9	54.5	100	100	100	58.3
GCF_000018865.1	Chloroflexus aurantiacus J-10-fl	GSB	6.179	65.2	77.8	40	100	58.8	60	45	66.7	0	100	50	51.7	0	100	100	50	37.5	83.3	85.7	71.4	57.1	0	42.9	54.5	100	100	100	58.3
GCF_000305935.1	Thermacetogenium phaeum DSM 12270	Sur	6.077	53.7	44.4	10	0	58.8	50	50	77.8	0	80	30	31	0	66.7	100	57.1	43.8	41.7	28.6	85.7	28.6	0	42.9	72.7	100	100	100	58.3
GCF_000183405.1	Calditerrivibrio nitroreducens DSM 19672	Sur	5.837	63.7	55.6	30	100	64.7	50	60	77.8	100	80	40	37.9	0	33.3	100	50	43.8	58.3	85.7	85.7	28.6	0	42.9	63.6	100	100	100	58.3
GCF_000175115.2	Geobacter sp. M18	Sur	5.829	65.8	44.4	30	0	76.5	65	60	77.8	100	80	65	44.8	0	66.7	100	57.1	50	83.3	85.7	85.7	57.1	0	57.1	63.6	100	100	100	58.3
GCF_000517565.1	Desulfurella acetivorans A63	SR	5.789	63.8	55.6	40	100	70.6	65	50	77.8	0	60	50	37.9	0	66.7	100	57.1	43.8	66.7	85.7	85.7	57.1	0	57.1	63.6	100	100	100	58.3
GCF_000007985.2	Geobacter sulfurreducens PCA	SRB	5.695	66.3	66.7	40	50	76.5	60	60	77.8	100	80	65	48.3	0	66.7	100	57.1	50	50	42.9	85.7	57.1	0	57.1	72.7	100	100	100	58.3
GCF_000023645.1	Geobacter sp. M21	Sur	5.692	64.4	44.4	30	0	76.5	65	60	77.8	100	80	55	37.9	0	66.7	100	57.1	50	75	85.7	85.7	42.9	0	57.1	63.6	100	100	100	58.3
GCF_000309885.1	Thermus oshimai JL-2	Sur	5.612	66.3	88.9	60	100	52.9	60	35	66.7	0	100	40	51.7	0	100	100	57.1	43.8	83.3	85.7	71.4	57.1	0	57.1	54.5	100	100	100	58.3
GCF_000016665.1	Roseiflexus sp. RS-1	Sur	5.58	68.1	77.8	40	100	52.9	50	45	77.8	100	100	35	44.8	0	100	100	57.1	37.5	83.3	85.7	85.7	28.6	0	42.9	72.7	100	100	100	58.3
GCF_000017805.1	Roseiflexus castenholzii DSM 13941	Sur	5.58	68.1	77.8	40	100	52.9	50	45	77.8	100	100	35	44.8	0	100	100	57.1	37.5	83.3	85.7	85.7	28.6	0	42.9	72.7	100	100	100	58.3
GCF_000024845.1	Rhodothermus marinus DSM 4252	Sur	5.574	65.4	77.8	30	100	64.7	55	60	55.6	0	100	60	41.4	0	100	100	50	50	83.3	85.7	71.4	42.9	0	57.1	54.5	100	100	100	58.3
GCF_000022265.1	Geobacter daltonii FRC-32	Sur	5.51	66	44.4	30	0	76.5	65	60	77.8	100	80	65	41.4	0	66.7	100	57.1	50	83.3	85.7	85.7	57.1	0	57.1	72.7	100	100	100	58.3
GCF_000092405.1	Syntrophothermus lipocalidus DSM 12680	Sur	5.505	56.5	44.4	10	0	58.8	50	55	77.8	0	80	40	31	0	33.3	100	57.1	37.5	75	100	85.7	28.6	0	42.9	72.7	100	100	100	58.3
GCF_001399775.1	Thermus aquaticus Y51MC23	Sur	5.494	62.7	88.9	60	100	47.1	55	35	66.7	0	80	40	51.7	0	66.7	100	50	37.5	83.3	85.7	71.4	57.1	0	28.6	54.5	100	100	100	58.3
GCF_000187005.1	Thermus scotoductus SA-01	Sur	5.447	63.7	88.9	60	100	52.9	60	35	66.7	0	80	40	48.3	0	66.7	100	50	37.5	83.3	85.7	71.4	42.9	0	57.1	63.6	100	100	100	58.3
GCF_000025725.1	Denitrovibrio acetiphilus DSM 12809	Sur	5.418	60.4	55.6	40	0	58.8	50	55	77.8	100	80	40	41.4	0	66.7	100	57.1	50	33.3	42.9	85.7	28.6	0	57.1	72.7	100	100	100	58.3
GCF_000020725.1	Geobacter bemidjiensis Bem	Sur	5.401	64.9	44.4	30	0	76.5	65	60	77.8	100	80	60	37.9	0	66.7	100	57.1	50	83.3	85.7	85.7	42.9	0	57.1	63.6	100	100	100	58.3
GCF_000817955.1	Geobacter pickeringii	Sur	5.375	66.5	55.6	40	0	76.5	65	60	77.8	100	80	65	41.4	0	66.7	100	57.1	56.2	83.3	85.7	85.7	42.9	0	57.1	72.7	100	100	100	58.3
GCF_000016745.1	Geobacter uraniireducens Rf4	Sur	5.334	65.1	44.4	30	0	76.5	65	60	77.8	100	80	65	37.9	0	66.7	100	57.1	50	75	85.7	85.7	42.9	0	57.1	72.7	100	100	100	58.3
