GenomeID	MEBS_SS	Comp_mean	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	P23	P24	P25	P26	P27	P28	P29
GCF_000007125.1_ASM712v1	-0.109	65.8	44.4	30.0	0.0	58.8	55.0	35.0	77.8	100.0	100.0	60.0	34.5	0.0	100.0	100.0	64.3	50.0	91.7	100.0	85.7	42.9	0.0	71.4	72.7	100.0	100.0	100.0	100.0	100.0	33.3
GCF_000007145.1_ASM714v1	-1.37	71.6	44.4	30.0	100.0	52.9	45.0	35.0	66.7	100.0	100.0	70.0	34.5	100.0	100.0	100.0	64.3	43.8	83.3	100.0	85.7	42.9	0.0	71.4	81.8	100.0	100.0	100.0	100.0	100.0	25.0
GCF_000007165.1_ASM716v1	-1.864	67.4	44.4	30.0	100.0	47.1	45.0	30.0	55.6	100.0	100.0	70.0	34.5	0.0	100.0	100.0	57.1	43.8	83.3	100.0	85.7	42.9	0.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	16.7
GCF_000007205.1_ASM720v1	-0.563	27.1	22.2	10.0	0.0	5.9	20.0	10.0	11.1	0.0	60.0	35.0	13.8	0.0	0.0	50.0	7.1	12.5	16.7	14.3	28.6	14.3	0.0	42.9	36.4	100.0	100.0	100.0	0.0	75.0	0.0
GCF_000007245.1_ASM724v1	-0.32	59.7	33.3	10.0	100.0	47.1	45.0	25.0	55.6	100.0	80.0	65.0	27.6	0.0	66.7	100.0	57.1	37.5	50.0	42.9	85.7	42.9	0.0	71.4	72.7	100.0	100.0	100.0	100.0	100.0	16.7
GCF_000007265.1_ASM726v1	-1.895	34.6	11.1	20.0	0.0	5.9	15.0	5.0	11.1	100.0	100.0	35.0	10.3	0.0	66.7	100.0	57.1	18.8	41.7	42.9	85.7	0.0	0.0	14.3	63.6	0.0	0.0	0.0	100.0	100.0	0.0
GCF_000007305.1_ASM730v1	8.037	35.6	66.7	0.0	50.0	52.9	40.0	50.0	55.6	0.0	60.0	45.0	24.1	0.0	66.7	0.0	50.0	43.8	25.0	0.0	71.4	14.3	0.0	28.6	54.5	0.0	0.0	0.0	100.0	75.0	58.3
GCF_000007325.1_ASM732v1	-0.228	32.7	33.3	10.0	0.0	17.6	30.0	15.0	22.2	0.0	80.0	35.0	20.7	0.0	66.7	50.0	42.9	25.0	50.0	71.4	57.1	28.6	0.0	28.6	54.5	0.0	0.0	0.0	100.0	100.0	8.3
GCF_000007345.1_ASM734v1	5.753	59.2	44.4	20.0	100.0	58.8	55.0	40.0	55.6	0.0	100.0	60.0	37.9	0.0	100.0	100.0	57.1	50.0	25.0	28.6	85.7	71.4	0.0	28.6	72.7	100.0	100.0	100.0	100.0	75.0	50.0
GCF_000007365.1_ASM736v1	2.079	18.7	22.2	10.0	0.0	23.5	35.0	25.0	33.3	0.0	20.0	40.0	24.1	0.0	0.0	0.0	35.7	18.8	16.7	0.0	71.4	42.9	0.0	42.9	54.5	0.0	0.0	0.0	0.0	0.0	25.0
GCF_000007385.1_ASM738v1	-1.853	66.2	44.4	30.0	100.0	47.1	45.0	25.0	55.6	100.0	80.0	65.0	31.0	0.0	100.0	100.0	57.1	43.8	83.3	100.0	85.7	42.9	0.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	16.7
GCF_000007465.2_ASM746v2	-1.379	45.8	22.2	20.0	0.0	11.8	15.0	15.0	11.1	100.0	80.0	40.0	10.3	0.0	33.3	100.0	57.1	18.8	41.7	57.1	85.7	0.0	0.0	28.6	72.7	100.0	100.0	100.0	100.0	100.0	8.3
GCF_000007485.1_ASM748v1	-0.902	28.0	11.1	30.0	0.0	0.0	15.0	0.0	11.1	0.0	40.0	15.0	6.9	0.0	0.0	50.0	35.7	0.0	41.7	28.6	57.1	0.0	0.0	14.3	54.5	100.0	100.0	100.0	0.0	100.0	0.0
GCF_000007525.1_ASM752v1	0.564	29.8	33.3	20.0	0.0	5.9	25.0	5.0	11.1	100.0	60.0	35.0	13.8	0.0	33.3	50.0	57.1	12.5	16.7	14.3	85.7	14.3	0.0	0.0	63.6	0.0	0.0	0.0	100.0	100.0	8.3
GCF_000007565.2_ASM756v2	1.857	78.6	44.4	70.0	100.0	70.6	55.0	50.0	77.8	100.0	100.0	70.0	44.8	100.0	100.0	100.0	71.4	50.0	91.7	100.0	85.7	71.4	0.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	58.3
GCF_000007585.1_ASM758v1	0.104	35.8	33.3	20.0	0.0	23.5	35.0	15.0	22.2	0.0	80.0	30.0	20.7	0.0	66.7	50.0	50.0	25.0	66.7	71.4	85.7	28.6	0.0	42.9	63.6	0.0	0.0	0.0	100.0	100.0	8.3
GCF_000007605.1_ASM760v1	-0.418	28.4	22.2	10.0	0.0	5.9	20.0	10.0	11.1	0.0	60.0	35.0	13.8	0.0	0.0	50.0	21.4	12.5	16.7	14.3	28.6	14.3	0.0	42.9	36.4	100.0	100.0	100.0	0.0	100.0	0.0
GCF_000007625.1_ASM762v1	0.691	37.7	33.3	20.0	0.0	47.1	45.0	25.0	33.3	0.0	80.0	45.0	27.6	0.0	66.7	0.0	57.1	31.2	50.0	57.1	85.7	42.9	0.0	57.1	72.7	0.0	0.0	0.0	100.0	100.0	16.7
GCF_000007645.1_ASM764v1	1.491	58.0	55.6	20.0	0.0	35.3	50.0	25.0	44.4	0.0	100.0	65.0	34.5	0.0	100.0	100.0	57.1	50.0	75.0	85.7	85.7	57.1	0.0	42.9	72.7	100.0	100.0	100.0	100.0	100.0	25.0
GCF_000007665.1_ASM766v1	-2.486	50.2	33.3	30.0	0.0	0.0	30.0	0.0	11.1	100.0	80.0	30.0	17.2	0.0	100.0	100.0	57.1	18.8	75.0	85.7	85.7	14.3	0.0	14.3	72.7	100.0	100.0	100.0	100.0	100.0	0.0
GCF_000007685.1_ASM768v1	0.933999999999999	60.4	33.3	40.0	0.0	47.1	60.0	35.0	55.6	100.0	80.0	60.0	34.5	0.0	66.7	100.0	50.0	37.5	83.3	85.7	71.4	42.9	0.0	71.4	63.6	100.0	100.0	100.0	100.0	100.0	33.3
GCF_000007705.1_ASM770v1	-0.309	70.4	55.6	40.0	100.0	58.8	55.0	40.0	77.8	100.0	100.0	60.0	41.4	0.0	100.0	100.0	57.1	50.0	91.7	100.0	85.7	42.9	0.0	71.4	81.8	100.0	100.0	100.0	100.0	100.0	33.3
GCF_000007725.1_ASM772v1	2.288	18.0	22.2	10.0	0.0	23.5	35.0	25.0	33.3	0.0	20.0	30.0	24.1	0.0	0.0	0.0	35.7	18.8	8.3	0.0	71.4	42.9	0.0	42.9	54.5	0.0	0.0	0.0	0.0	0.0	25.0
GCF_000007745.1_ASM774v1	3.325	68.7	33.3	50.0	0.0	64.7	60.0	50.0	77.8	100.0	100.0	70.0	44.8	100.0	100.0	100.0	71.4	50.0	41.7	42.9	85.7	71.4	0.0	57.1	72.7	100.0	100.0	100.0	100.0	100.0	50.0
GCF_000007765.1_ASM776v1	1.435	47.8	55.6	10.0	0.0	17.6	35.0	10.0	33.3	100.0	60.0	30.0	20.7	0.0	33.3	100.0	42.9	12.5	83.3	85.7	57.1	14.3	0.0	14.3	54.5	100.0	100.0	100.0	100.0	100.0	16.7
GCF_000007785.1_ASM778v1	0.661	41.0	33.3	20.0	0.0	29.4	30.0	30.0	44.4	0.0	100.0	50.0	20.7	0.0	100.0	100.0	64.3	43.8	33.3	42.9	85.7	28.6	0.0	42.9	63.6	0.0	0.0	0.0	100.0	100.0	25.0
GCF_000007805.1_ASM780v1	-0.779000000000001	74.1	44.4	30.0	100.0	52.9	50.0	35.0	66.7	100.0	100.0	65.0	41.4	100.0	100.0	100.0	71.4	43.8	91.7	100.0	85.7	71.4	0.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	33.3
GCF_000007825.1_ASM782v1	2.673	66.0	55.6	50.0	0.0	52.9	55.0	40.0	66.7	100.0	100.0	70.0	34.5	0.0	100.0	100.0	57.1	50.0	75.0	85.7	85.7	57.1	0.0	57.1	72.7	100.0	100.0	100.0	100.0	100.0	50.0
GCF_000007845.1_ASM784v1	2.515	69.6	55.6	50.0	100.0	58.8	55.0	40.0	77.8	100.0	100.0	65.0	31.0	0.0	100.0	100.0	57.1	50.0	83.3	85.7	85.7	42.9	0.0	57.1	72.7	100.0	100.0	100.0	100.0	100.0	50.0
GCF_000007865.1_ASM786v1	3.084	70.9	77.8	30.0	50.0	70.6	60.0	45.0	77.8	100.0	100.0	70.0	37.9	0.0	100.0	100.0	57.1	50.0	91.7	100.0	85.7	42.9	0.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	41.7
GCF_000007905.1_ASM790v1	3.783	55.6	33.3	30.0	0.0	41.2	40.0	40.0	77.8	100.0	80.0	40.0	27.6	0.0	66.7	100.0	57.1	31.2	41.7	57.1	85.7	28.6	0.0	28.6	63.6	100.0	100.0	100.0	100.0	100.0	41.7
GCF_000007925.1_ASM792v1	2.001	48.8	55.6	30.0	0.0	23.5	45.0	15.0	22.2	0.0	60.0	55.0	31.0	0.0	66.7	100.0	50.0	25.0	50.0	42.9	71.4	42.9	0.0	57.1	54.5	100.0	100.0	100.0	100.0	100.0	16.7
GCF_000007945.1_ASM794v1	3.847	35.4	44.4	10.0	0.0	52.9	50.0	40.0	77.8	100.0	40.0	45.0	41.4	0.0	33.3	50.0	35.7	37.5	33.3	28.6	57.1	42.9	0.0	42.9	54.5	0.0	0.0	0.0	0.0	75.0	33.3
GCF_000007985.2_ASM798v2	5.695	66.3	66.7	40.0	50.0	76.5	60.0	60.0	77.8	100.0	80.0	65.0	48.3	0.0	66.7	100.0	57.1	50.0	50.0	42.9	85.7	57.1	0.0	57.1	72.7	100.0	100.0	100.0	100.0	100.0	58.3
GCF_000008005.1_ASM800v1	1.904	64.9	55.6	50.0	0.0	52.9	45.0	35.0	66.7	100.0	100.0	70.0	31.0	0.0	100.0	100.0	57.1	43.8	75.0	85.7	85.7	57.1	0.0	57.1	72.7	100.0	100.0	100.0	100.0	100.0	41.7
GCF_000008025.1_ASM802v1	0.834	36.6	33.3	20.0	100.0	17.6	35.0	10.0	44.4	0.0	40.0	25.0	20.7	0.0	33.3	0.0	14.3	12.5	25.0	0.0	42.9	14.3	0.0	28.6	36.4	100.0	100.0	100.0	100.0	100.0	8.3
GCF_000008045.1_ASM804v1	0.189	37.1	33.3	20.0	100.0	17.6	35.0	10.0	33.3	0.0	60.0	20.0	20.7	0.0	33.3	50.0	28.6	12.5	41.7	28.6	42.9	14.3	0.0	28.6	36.4	100.0	100.0	100.0	0.0	100.0	8.3
GCF_000008065.1_ASM806v1	-1.351	27.1	22.2	20.0	0.0	0.0	10.0	0.0	11.1	0.0	80.0	30.0	10.3	0.0	33.3	100.0	50.0	6.2	33.3	28.6	85.7	0.0	0.0	0.0	63.6	0.0	0.0	0.0	100.0	100.0	0.0
GCF_000008125.1_ASM812v1	4.708	64.8	88.9	60.0	100.0	47.1	55.0	35.0	66.7	0.0	100.0	40.0	51.7	0.0	100.0	100.0	57.1	37.5	83.3	85.7	71.4	57.1	0.0	28.6	54.5	100.0	100.0	100.0	100.0	100.0	58.3
GCF_000008185.1_ASM818v1	0.452	46.0	33.3	20.0	100.0	23.5	30.0	10.0	22.2	0.0	80.0	30.0	17.2	0.0	66.7	100.0	42.9	18.8	41.7	28.6	71.4	14.3	0.0	28.6	45.5	100.0	100.0	100.0	100.0	100.0	8.3
GCF_000008205.1_ASM820v1	-0.105	15.9	11.1	10.0	0.0	5.9	15.0	5.0	0.0	0.0	60.0	15.0	10.3	0.0	33.3	0.0	28.6	6.2	8.3	0.0	71.4	0.0	0.0	0.0	54.5	0.0	0.0	0.0	100.0	25.0	0.0
GCF_000008245.1_ASM824v1	-0.795	11.7	11.1	0.0	0.0	0.0	10.0	0.0	0.0	0.0	60.0	15.0	6.9	0.0	33.3	0.0	7.1	6.2	8.3	0.0	28.6	0.0	0.0	0.0	27.3	0.0	0.0	0.0	100.0	25.0	0.0
GCF_000008265.1_ASM826v1	2.154	59.3	44.4	30.0	100.0	35.3	35.0	25.0	55.6	0.0	60.0	20.0	24.1	100.0	33.3	100.0	57.1	25.0	83.3	85.7	71.4	28.6	100.0	42.9	54.5	100.0	100.0	100.0	100.0	75.0	33.3
GCF_000008285.1_ASM828v1	0.0479999999999999	50.1	33.3	20.0	0.0	29.4	25.0	25.0	44.4	0.0	100.0	45.0	17.2	0.0	100.0	100.0	57.1	37.5	50.0	42.9	85.7	0.0	0.0	42.9	72.7	100.0	100.0	100.0	100.0	100.0	25.0
GCF_000008305.1_ASM830v1	-0.864	14.0	11.1	10.0	0.0	0.0	10.0	0.0	11.1	0.0	60.0	15.0	6.9	0.0	33.3	0.0	14.3	6.2	8.3	0.0	42.9	0.0	0.0	0.0	27.3	0.0	0.0	0.0	100.0	50.0	0.0
GCF_000008325.1_ASM832v1	4.401	66.9	55.6	60.0	100.0	58.8	55.0	40.0	77.8	100.0	80.0	70.0	48.3	0.0	66.7	100.0	57.1	56.2	41.7	28.6	85.7	71.4	0.0	57.1	63.6	100.0	100.0	100.0	100.0	100.0	66.7
GCF_000008345.1_ASM834v1	2.122	53.5	33.3	40.0	0.0	41.2	45.0	30.0	66.7	0.0	60.0	35.0	24.1	0.0	100.0	100.0	50.0	37.5	83.3	85.7	71.4	14.3	0.0	28.6	63.6	100.0	100.0	100.0	100.0	100.0	41.7
GCF_000008365.1_ASM836v1	-0.633	10.4	11.1	10.0	0.0	0.0	10.0	0.0	0.0	0.0	60.0	15.0	6.9	0.0	0.0	0.0	14.3	0.0	8.3	0.0	28.6	0.0	0.0	0.0	36.4	0.0	0.0	0.0	0.0	100.0	0.0
GCF_000008385.1_ASM838v1	0.936	31.4	33.3	20.0	0.0	17.6	35.0	10.0	44.4	0.0	40.0	25.0	20.7	0.0	33.3	0.0	14.3	12.5	25.0	0.0	42.9	14.3	0.0	28.6	36.4	100.0	100.0	100.0	100.0	50.0	8.3
GCF_000008425.1_ASM842v1	2.58	70.6	77.8	50.0	0.0	58.8	55.0	40.0	77.8	100.0	100.0	65.0	41.4	100.0	100.0	100.0	71.4	50.0	75.0	85.7	85.7	57.1	0.0	42.9	72.7	100.0	100.0	100.0	100.0	100.0	41.7
GCF_000008465.1_ASM846v1	-1.079	59.5	33.3	40.0	100.0	23.5	40.0	15.0	33.3	100.0	80.0	40.0	27.6	0.0	100.0	100.0	57.1	31.2	83.3	100.0	71.4	28.6	0.0	57.1	54.5	100.0	100.0	100.0	100.0	100.0	8.3
GCF_000008485.1_ASM848v1	1.189	59.6	33.3	40.0	100.0	41.2	35.0	35.0	44.4	100.0	80.0	40.0	20.7	0.0	33.3	100.0	57.1	31.2	83.3	85.7	85.7	14.3	0.0	71.4	72.7	100.0	100.0	100.0	100.0	100.0	25.0
GCF_000008525.1_ASM852v1	2.599	45.2	33.3	40.0	0.0	29.4	35.0	25.0	55.6	100.0	40.0	30.0	24.1	0.0	33.3	100.0	35.7	18.8	25.0	28.6	42.9	14.3	0.0	28.6	45.5	100.0	100.0	100.0	100.0	100.0	25.0
GCF_000008545.1_ASM854v1	2.892	38.1	33.3	20.0	100.0	35.3	35.0	30.0	33.3	0.0	60.0	40.0	27.6	0.0	66.7	0.0	57.1	43.8	25.0	0.0	85.7	42.9	0.0	71.4	63.6	0.0	0.0	0.0	100.0	100.0	33.3
GCF_000008565.1_ASM856v1	0.857	69.2	77.8	40.0	100.0	47.1	45.0	30.0	55.6	100.0	100.0	60.0	37.9	0.0	100.0	100.0	57.1	43.8	91.7	100.0	85.7	57.1	0.0	71.4	72.7	100.0	100.0	100.0	100.0	100.0	33.3
GCF_000008585.1_ASM858v1	-0.681	69.4	55.6	40.0	100.0	52.9	55.0	35.0	66.7	100.0	80.0	60.0	37.9	0.0	100.0	100.0	57.1	50.0	91.7	100.0	85.7	42.9	0.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	33.3
GCF_000008605.1_ASM860v1	0.508	19.8	22.2	10.0	0.0	11.8	25.0	10.0	0.0	0.0	40.0	30.0	10.3	0.0	33.3	50.0	35.7	12.5	16.7	14.3	42.9	0.0	0.0	14.3	36.4	0.0	0.0	0.0	100.0	50.0	8.3
GCF_000008625.1_ASM862v1	7.631	61.0	66.7	60.0	0.0	52.9	50.0	40.0	77.8	0.0	60.0	50.0	48.3	0.0	66.7	100.0	57.1	31.2	33.3	42.9	85.7	71.4	100.0	28.6	72.7	100.0	100.0	100.0	100.0	100.0	75.0
GCF_000008645.1_ASM864v1	6.054	46.7	33.3	20.0	100.0	64.7	55.0	45.0	66.7	100.0	100.0	55.0	37.9	0.0	66.7	100.0	64.3	37.5	25.0	28.6	57.1	71.4	0.0	28.6	63.6	0.0	0.0	0.0	0.0	75.0	58.3
GCF_000008665.1_ASM866v1	10.229	60.9	66.7	40.0	100.0	76.5	75.0	55.0	77.8	0.0	100.0	60.0	44.8	0.0	66.7	100.0	50.0	37.5	66.7	85.7	57.1	57.1	0.0	28.6	63.6	100.0	100.0	100.0	0.0	75.0	83.3
GCF_000008685.2_ASM868v2	-0.76	12.5	11.1	10.0	0.0	0.0	5.0	0.0	11.1	0.0	40.0	30.0	10.3	0.0	0.0	50.0	14.3	0.0	16.7	14.3	14.3	0.0	0.0	0.0	36.4	0.0	0.0	0.0	0.0	100.0	0.0
GCF_000008725.1_ASM872v1	-0.484	27.3	22.2	10.0	0.0	5.9	20.0	10.0	11.1	0.0	60.0	35.0	13.8	0.0	0.0	50.0	14.3	12.5	16.7	14.3	28.6	14.3	0.0	42.9	36.4	100.0	100.0	100.0	0.0	75.0	0.0
GCF_000008765.1_ASM876v1	1.084	45.0	44.4	20.0	0.0	35.3	45.0	30.0	22.2	100.0	80.0	55.0	27.6	100.0	66.7	0.0	71.4	25.0	41.7	57.1	85.7	42.9	0.0	57.1	72.7	0.0	0.0	0.0	100.0	100.0	25.0
GCF_000008785.1_ASM878v1	2.142	40.9	33.3	40.0	0.0	29.4	35.0	20.0	55.6	100.0	40.0	30.0	20.7	0.0	33.3	0.0	42.9	18.8	8.3	0.0	57.1	14.3	0.0	28.6	54.5	100.0	100.0	100.0	100.0	100.0	25.0
GCF_000008805.1_ASM880v1	-0.014	56.6	33.3	40.0	0.0	47.1	45.0	25.0	55.6	100.0	60.0	65.0	27.6	0.0	66.7	100.0	57.1	37.5	58.3	57.1	85.7	42.9	0.0	57.1	63.6	100.0	100.0	100.0	100.0	100.0	16.7
GCF_000008885.1_ASM888v1	-0.72	31.5	33.3	10.0	0.0	5.9	25.0	10.0	11.1	0.0	40.0	35.0	17.2	0.0	33.3	0.0	35.7	18.8	16.7	0.0	57.1	14.3	0.0	28.6	45.5	100.0	100.0	100.0	100.0	75.0	0.0
GCF_000008925.1_ASM892v1	-1.337	32.9	22.2	10.0	0.0	5.9	25.0	10.0	11.1	0.0	100.0	40.0	13.8	0.0	66.7	100.0	57.1	25.0	33.3	42.9	85.7	14.3	0.0	28.6	63.6	0.0	0.0	0.0	100.0	100.0	0.0
GCF_000008985.1_ASM898v1	0.116	54.5	44.4	10.0	100.0	29.4	40.0	20.0	44.4	100.0	60.0	35.0	20.7	0.0	33.3	100.0	57.1	25.0	66.7	71.4	85.7	14.3	0.0	42.9	63.6	100.0	100.0	100.0	100.0	100.0	16.7
GCF_000009005.1_ASM900v1	-0.067	57.8	33.3	20.0	0.0	41.2	55.0	30.0	55.6	0.0	100.0	55.0	34.5	0.0	100.0	100.0	57.1	50.0	75.0	85.7	85.7	57.1	0.0	42.9	72.7	100.0	100.0	100.0	100.0	100.0	25.0
GCF_000009025.1_ASM902v1	5.877	44.1	44.4	10.0	100.0	52.9	45.0	50.0	66.7	100.0	60.0	40.0	34.5	0.0	33.3	100.0	50.0	31.2	25.0	28.6	71.4	14.3	0.0	42.9	54.5	0.0	0.0	0.0	100.0	75.0	50.0
GCF_000009045.1_ASM904v1	2.289	74.6	77.8	50.0	100.0	58.8	55.0	40.0	77.8	100.0	100.0	65.0	41.4	100.0	100.0	100.0	71.4	50.0	75.0	85.7	85.7	57.1	0.0	57.1	72.7	100.0	100.0	100.0	100.0	100.0	41.7
GCF_000009085.1_ASM908v1	4.82	53.2	66.7	30.0	0.0	41.2	40.0	35.0	77.8	100.0	60.0	40.0	34.5	0.0	33.3	100.0	57.1	31.2	25.0	28.6	85.7	14.3	0.0	28.6	63.6	100.0	100.0	100.0	100.0	100.0	50.0
