Genomes	Score
GCF_000309885.1_ASM30988v1	10.07
GCF_000022265.1_ASM2226v1	10.068
GCF_000175115.2_ASM17511v2	10.068
GCF_000020385.1_ASM2038v1	10.066
GCF_000817955.1_ASM81795v1	10.064
GCF_000512735.1_ASM51273v1	10.043
GCF_000024265.1_ASM2426v1	9.986
GCF_000147355.1_ASM14735v1	9.955
GCF_000062885.1_ASM6288v1	9.934
GCF_000418325.1_ASM41832v1	9.921
GCF_000018625.1_ASM1862v1	9.902
GCF_000175575.2_ASM17557v2	9.884
GCF_000223395.1_ASM22339v1	9.872
GCF_000024845.1_ASM2484v1	9.869
GCF_000725425.1_ASM72542v1	9.869
GCF_000014785.1_ASM1478v1	9.868
GCF_000006945.1_ASM694v1	9.758
GCF_000020865.1_ASM2086v1	9.758
GCF_000252995.1_ASM25299v1	9.758
GCF_000262305.1_ASM26230v1	9.758
GCF_001011055.1_ASM101105v1	9.758
GCF_000203895.1_ASM20389v1	9.748
GCF_000187005.1_ASM18700v1	9.717
GCF_000012925.1_ASM1292v1	9.715
GCF_000016745.1_ASM1674v1	9.715
GCF_000020725.1_ASM2072v1	9.71
GCF_000023645.1_ASM2364v1	9.71
GCF_000016605.1_ASM1660v1	9.677
GCF_000010045.1_ASM1004v1	9.673
GCF_000243135.2_ASM24313v3	9.668
GCF_000739065.1_ASM73906v1	9.629
GCF_000092305.1_ASM9230v1	9.608
GCF_000183405.1_ASM18340v1	9.605
GCF_000568815.1_ASM56881v1	9.602
GCF_000012425.1_ASM1242v1	9.56
GCF_000242455.2_ASM24245v3	9.559
GCF_000015585.1_ASM1558v1	9.554
GCF_000007985.2_ASM798v2	9.551
GCF_000828975.1_ASM82897v1	9.53
GCF_000827125.1_ASM82712v1	9.528
GCF_000814825.1_ASM81482v1	9.521
GCF_000019365.1_ASM1936v1	9.483
GCF_000023885.1_ASM2388v1	9.469
GCF_000517565.1_ASM51756v1	9.46
GCF_000020325.1_ASM2032v1	9.456
GCF_000785705.2_ASM78570v2	9.447
GCF_000021865.1_ASM2186v1	9.437
GCF_000092905.1_ASM9290v1	9.384
GCF_000025665.1_ASM2566v1	9.315
GCF_000018365.1_ASM1836v1	9.307
GCF_000215995.1_ASM21599v1	9.307
GCF_000195335.1_ASM19533v1	9.271
GCF_000221185.1_ASM22118v1	9.259
GCF_000265525.1_ASM26552v1	9.259
GCF_000007305.1_ASM730v1	9.254
GCF_000013405.1_ASM1340v1	9.249
GCF_001281385.1_ASM128138v1	9.246
GCF_000014805.1_ASM1480v1	9.241
GCF_000204115.1_ASM20411v1	9.241
GCF_000967305.2_ASM96730v2	9.24
GCF_001592435.1_ASM159243v1	9.232
GCF_000294515.1_ASM29451v1	9.223
GCF_001278055.1_ASM127805v1	9.221
GCF_000242895.2_ASM24289v3	9.211
GCF_000756615.1_ASM75661v1	9.211
GCF_000151105.2_ASM15110v2	9.21
GCF_000517445.1_ASM51744v1	9.21
GCF_001399775.1_ASM139977v1	9.208
GCF_000349945.1_ASM34994v1	9.207
GCF_000265295.1_ASM26529v1	9.205
GCF_000014045.1_ASM1404v1	9.204
GCF_000024885.1_ASM2488v1	9.203
GCF_000236585.1_ASM23658v1	9.2
GCF_000092405.1_ASM9240v1	9.199
GCF_000015985.1_ASM1598v1	9.166
GCF_001020955.1_ASM102095v1	9.159
GCF_000190635.1_ASM19063v1	9.137
GCF_000284255.1_ASM28425v1	9.066
GCF_000243075.1_ASM24307v1	9.063
GCF_000157895.3_ASM15789v2	9.047
GCF_000304315.1_Msp_SC2	9.035
GCF_000818015.1_ASM81801v1	9.034
GCF_000612505.1_ASM61250v1	9.033
GCF_000993825.1_ASM99382v1	9.033
GCF_000019185.1_ASM1918v1	9.016
GCF_000009905.1_ASM990v1	8.997
GCF_000017945.1_ASM1794v1	8.994
GCF_000021765.1_ASM2176v1	8.982
GCF_000024545.1_ASM2454v1	8.963
GCF_000512125.1_ASM51212v1	8.943
GCF_001190925.1_ASM119092v1	8.934
GCF_001484565.1_ASM148456v1	8.933
GCF_000243155.2_ASM24315v3	8.931
GCF_000198515.1_ASM19851v1	8.921
GCF_001298465.1_ASM129846v1	8.919
GCF_000017725.2_ASM1772v2	8.898
GCF_000970285.1_ASM97028v1	8.876
GCF_000025725.1_ASM2572v1	8.867
GCF_000987835.1_ASM98783v1	8.866
GCF_000008125.1_ASM812v1	8.859
GCF_001548055.1_ASM154805v1	8.852
GCF_000969965.1_ASM96996v1	8.85
GCF_000010985.1_ASM1098v1	8.844
GCF_000218625.1_ASM21862v1	8.811
GCF_000022045.1_ASM2204v1	8.807
GCF_000184685.1_ASM18468v1	8.807
GCF_000235565.1_ASM23556v1	8.807
GCF_000007865.1_ASM786v1	8.801
GCF_000478885.1_ASM47888v1	8.79
GCF_000969905.1_ASM96990v1	8.779
GCF_000970305.1_ASM97030v1	8.779
GCF_000092105.1_ASM9210v1	8.775
GCF_000236665.1_ASM23666v1	8.765
GCF_000217995.1_ASM21799v1	8.759
GCF_000186345.1_ASM18634v1	8.754
GCF_000194805.1_ASM19480v1	8.753
GCF_000011365.1_ASM1136v1	8.746
GCF_001693385.1_ASM169338v1	8.746
GCF_000092985.1_ASM9298v1	8.728
GCF_000024165.1_ASM2416v1	8.727
GCF_000257545.3_ASM25754v3	8.713
GCF_000293885.2_ASM29388v3	8.713
GCF_001511755.1_Shine	8.713
GCF_000018145.1_ASM1814v1	8.708
GCF_000266905.1_ASM26690v1	8.694
GCF_000024725.1_ASM2472v1	8.687
GCF_000154785.2_ASM15478v2	8.687
GCF_000020445.1_ASM2044v1	8.678
GCF_000177255.2_ASM17725v2	8.678
GCF_000738435.1_ASM73843v1	8.667
GCF_000245355.1_ASM24535v1	8.66
GCF_001511815.1_TUE45	8.66
GCF_000013605.1_ASM1360v1	8.654
GCF_000015005.1_ASM1500v1	8.646
GCF_000211475.1_ASM21147v1	8.644
GCF_000263735.1_ASM26373v1	8.644
GCF_000270285.1_ASM27028v1	8.626
GCF_000011965.2_ASM1196v2	8.625
GCF_000018605.1_ASM1860v1	8.587
GCF_000143165.1_ASM14316v1	8.573
GCF_000013685.1_ASM1368v1	8.551
GCF_000018025.1_ASM1802v1	8.55
GCF_000305935.1_ASM30593v1	8.528
GCF_000017465.2_ASM1746v2	8.518
GCF_000196695.1_ASM19669v1	8.485
GCF_000019165.1_ASM1916v1	8.482
GCF_000970265.1_ASM97026v1	8.474
GCF_001051995.2_ASM105199v2	8.465
GCF_000299965.1_ASM29996v1	8.461
GCF_000195895.1_ASM19589v1	8.452
GCF_000007005.1_ASM700v1	8.448
GCF_000022385.1_ASM2238v1	8.448
GCF_000011205.1_ASM1120v1	8.442
GCF_000020485.1_ASM2048v1	8.442
GCF_000007065.1_ASM706v1	8.44
GCF_000007345.1_ASM734v1	8.44
GCF_000970085.1_ASM97008v1	8.44
GCF_000177635.2_ASM17763v2	8.435
GCF_000145235.1_ASM14523v1	8.429
GCF_000184325.1_ASM18432v1	8.426
GCF_000661895.1_ASM66189v1	8.423
GCF_001029105.3_ASM102910v3	8.422
GCF_000747345.1_ASM74734v1	8.413
GCF_000819565.1_ASM81956v1	8.413
GCF_000022085.1_ASM2208v1	8.409
GCF_000017185.1_ASM1718v1	8.408
GCF_001187595.1_ASM118759v1	8.406
GCF_000231405.2_ASM23140v3	8.403
GCF_000284375.1_ASM28437v1	8.397
GCF_000296215.2_ASM29621v2	8.397
GCF_000021725.1_ASM2172v1	8.394
GCF_000015505.1_ASM1550v1	8.383
GCF_000017645.1_ASM1764v1	8.376
GCF_000018305.1_ASM1830v1	8.376
GCF_000008645.1_ASM864v1	8.365
GCF_000214415.1_ASM21441v1	8.365
GCF_000828575.1_ASM82857v1	8.365
GCF_000145295.1_ASM14529v1	8.36
GCF_000191585.1_ASM19158v1	8.36
GCF_000016725.1_ASM1672v1	8.348
GCF_000214725.1_ASM21472v1	8.345
GCF_000499765.1_Methanobacterium	8.345
GCF_000196655.1_ASM19665v1	8.338
GCF_000271665.2_ASM27166v2	8.336
GCF_000214155.1_ASM21415v1	8.328
GCF_000016125.1_ASM1612v1	8.327
GCF_000317025.1_ASM31702v1	8.324
GCF_001305615.1_ASM130561v1	8.319
GCF_000025865.1_ASM2586v1	8.317
GCF_001644685.1_ASM164468v1	8.315
GCF_000970045.1_ASM97004v1	8.312
GCF_000025525.1_ASM2552v1	8.307
GCF_000179575.2_ASM17957v2	8.307
GCF_000024385.1_ASM2438v1	8.305
GCF_000021045.1_ASM2104v1	8.297
GCF_000817975.1_ASM81797v1	8.297
GCF_000970025.1_ASM97002v1	8.295
GCF_000011585.1_ASM1158v1	8.286
GCF_000006175.1_ASM617v2	8.284
GCF_000017165.1_ASM1716v1	8.284
GCF_000019725.1_ASM1972v1	8.281
GCF_000011605.1_ASM1160v1	8.249
GCF_000018045.1_ASM1804v1	8.249
GCF_000648515.1_ASM64851v1	8.249
GCF_000834455.1_ASM83445v1	8.249
GCF_000834515.1_ASM83451v1	8.249
GCF_000981805.1_ASM98180v1	8.249
GCF_001006005.1_ASM100600v1	8.249
GCF_001022155.1_ASM102215v1	8.249
GCF_000511405.1_ASM51140v1	8.247
GCF_000199675.1_ASM19967v1	8.235
GCF_000300005.1_ASM30000v1	8.235
GCF_000017845.1_ASM1784v1	8.221
GCF_000021805.1_ASM2180v1	8.221
GCF_000019785.1_ASM1978v1	8.219
GCF_001678945.1_ASM167894v1	8.213
GCF_000015165.1_ASM1516v1	8.212
GCF_000026145.1_ASM2614v1	8.212
GCF_000306725.1_ASM30672v1	8.203
GCF_000005845.2_ASM584v2	8.201
GCF_000014665.1_ASM1466v1	8.201
GCF_000018085.1_ASM1808v1	8.201
GCF_000025065.1_ASM2506v1	8.201
GCF_000026225.1_ASM2622v1	8.201
GCF_000027085.1_ASM2708v1	8.201
GCF_000147055.1_ASM14705v1	8.201
GCF_000164865.1_ASM16486v1	8.201
GCF_000286435.2_ASM28643v2	8.201
GCF_000300455.3_ASM30045v4	8.201
GCF_000330845.1_ASM33084v1	8.201
GCF_000422085.1_ASM42208v1	8.201
GCF_000757785.1_ASM75778v1	8.201
GCF_000829965.1_ASM82996v1	8.201
GCF_001518835.1_ASM151883v1	8.201
GCF_000022885.2_ASM2288v2	8.199
GCF_000007565.2_ASM756v2	8.196
GCF_000219705.1_ASM21970v1	8.196
GCF_000993805.1_ASM99380v1	8.182
GCF_001190755.1_ASM119075v1	8.182
GCF_001643975.1_ASM164397v1	8.182
GCF_000736415.1_ASM73641v1	8.177
GCF_000241385.1_ASM24138v1	8.174
GCF_000009285.1_ASM928v2	8.172
GCF_000196015.1_ASM19601v1	8.172
GCF_000316645.1_ASM31664v1	8.17
GCF_000317475.1_ASM31747v1	8.17
GCF_000725345.1_ASM72534v1	8.158
GCF_000253295.1_ASM25329v1	8.151
GCF_000009725.1_ASM972v1	8.149
GCF_000478825.2_ASM47882v2	8.149
GCF_000015045.1_ASM1504v1	8.141
GCF_000982715.1_ASM98271v1	8.14
GCF_000014005.1_ASM1400v1	8.131
GCF_000014565.1_ASM1456v1	8.129
GCF_000021965.1_ASM2196v1	8.125
GCF_001271345.1_ASM127134v1	8.122
GCF_000012305.1_ASM1230v1	8.116
GCF_000214665.1_ASM21466v1	8.116
GCF_000014185.1_ASM1418v1	8.115
GCF_000019605.1_ASM1960v1	8.112
GCF_000092605.1_ASM9260v1	8.101
GCF_000019665.1_ASM1966v1	8.098
GCF_000953475.1_MfumSolVChr1	8.098
GCF_000816345.1_ASM81634v1	8.089
GCF_000465235.1_ASM46523v1	8.084
GCF_001189295.1_ASM118929v1	8.082
GCF_000012285.1_ASM1228v1	8.078
GCF_000327065.1_ASM32706v1	8.074
GCF_000015745.1_ASM1574v1	8.068
GCF_000018825.1_ASM1882v1	8.068
GCF_000300475.1_ASM30047v1	8.068
GCF_000445995.2_ASM44599v2	8.068
GCF_000742855.1_ASM74285v1	8.068
GCF_001618685.1_ASM161868v1	8.068
GCF_001187845.1_ASM118784v1	8.046
GCF_000061505.1_ASM6150v1	8.044
GCF_000009705.1_ASM970v1	8.04
GCF_001548455.1_ASM154845v1	8.04
GCF_000069965.1_ASM6996v1	8.023
GCF_001582075.1_ASM158207v1	8.023
GCF_001658025.1_ASM165802v1	8.023
GCF_000689415.1_PKB13	8.019
GCF_000316175.1_ASM31617v1	8.018
GCF_000015265.1_ASM1526v1	8.013
GCF_000008325.1_ASM832v1	8.01
GCF_000632475.1_ASM63247v2	8.009
GCF_001305595.1_ASM130559v1	8.009
GCF_000021745.1_ASM2174v1	8.004
GCF_000015725.1_ASM1572v1	7.994
GCF_000230975.2_ASM23097v3	7.994
GCF_000020025.1_ASM2002v1	7.992
GCF_000166095.1_ASM16609v1	7.992
GCF_000316625.1_ASM31662v1	7.992
GCF_000316665.1_ASM31666v1	7.992
GCF_000317125.1_ASM31712v1	7.992
GCF_000317435.1_ASM31743v1	7.992
GCF_000317515.1_ASM31751v1	7.992
GCF_000734895.2_ASM73489v2	7.992
GCF_000762265.1_ASM76226v1	7.992
GCF_000312705.1_ASM31270v1	7.987
GCF_001277295.1_ASM127729v1	7.987
GCF_000328625.1_ASM32862v1	7.982
GCF_000021825.1_ASM2182v1	7.971
GCF_000963495.1_ASM96349v1	7.97
GCF_000016525.1_ASM1652v1	7.969
GCF_001477655.1_ASM147765v1	7.969
GCF_000092645.1_ASM9264v1	7.966
GCF_000169195.2_ASM16919v2	7.966
GCF_000758525.1_ASM75852v1	7.966
GCF_000758625.1_ASM75862v1	7.966
GCF_000758645.1_ASM75864v1	7.966
GCF_000758705.1_ASM75870v1	7.966
GCF_000981585.1_SBR5_T_	7.966
GCF_000165715.2_ASM16571v3	7.962
GCF_000016425.1_ASM1642v1	7.96
GCF_000018265.1_ASM1826v1	7.96
GCF_000230715.2_ASM23071v3	7.939
GCF_000014825.1_ASM1482v1	7.936
GCF_000404165.1_ASM40416v1	7.933
GCF_000284315.1_ASM28431v1	7.931
GCF_000828915.1_ASM82891v1	7.925
GCF_000266925.1_ASM26692v1	7.922
GCF_000025005.1_ASM2500v1	7.912
GCF_000204155.1_ASM20415v1	7.912
GCF_000237145.1_ASM23714v1	7.912
GCF_000284295.1_ASM28429v1	7.912
GCF_000494755.1_ASM49475v1	7.912
GCF_000512895.1_ASM51289v1	7.911
GCF_000969885.1_ASM96988v1	7.903
GCF_001443605.1_ASM144360v1	7.901
GCF_001655615.1_ASM165561v1	7.898
GCF_001661075.1_ASM166107v1	7.898
GCF_000005825.2_ASM582v2	7.894
GCF_000600105.1_ASM60010v1	7.894
GCF_000017425.1_ASM1742v1	7.893
GCF_000176035.2_ASM17603v2	7.893
GCF_000023845.1_ASM2384v1	7.884
GCF_000019125.1_ASM1912v1	7.881
GCF_000698865.1_ASM69886v1	7.855
GCF_000219215.1_ASM21921v1	7.85
GCF_000590495.2_ASM59049v2	7.85
GCF_000305775.1_ASM30577v1	7.844
GCF_000410575.1_ASM41057v1	7.833
GCF_000316575.1_ASM31657v1	7.831
GCF_001643955.1_ASM164395v1	7.829
GCF_000024425.1_ASM2442v1	7.828
GCF_001190745.1_ASM119074v1	7.824
GCF_001558255.1_ASM155825v1	7.824
GCF_000317635.1_ASM31763v1	7.81
GCF_000008425.1_ASM842v1	7.799
GCF_000009045.1_ASM904v1	7.799
GCF_000015785.1_ASM1578v1	7.799
GCF_000009785.1_ASM978v1	7.798
GCF_000015225.1_ASM1522v1	7.793
GCF_000015945.1_ASM1594v1	7.785
GCF_000017625.1_ASM1762v1	7.783
GCF_000235685.2_ASM23568v3	7.783
GCF_000968535.2_ASM96853v1	7.776
GCF_000092465.1_ASM9246v1	7.77
GCF_000317795.1_ASM31779v1	7.763
GCF_000154745.2_ASM15474v2	7.757
GCF_000511385.1_ASM51138v1	7.757
GCF_000016885.1_ASM1688v1	7.753
GCF_001458695.1_NiCh1	7.737
GCF_000327485.1_ASM32748v1	7.735
GCF_000317695.1_ASM31769v1	7.734
GCF_000389965.1_ASM38996v1	7.734
GCF_000009345.1_ASM934v1	7.732
GCF_000014885.1_ASM1488v1	7.732
GCF_000834215.1_ASM83421v1	7.732
GCF_001047675.1_ASM104767v1	7.732
GCF_000015825.1_ASM1582v1	7.73
GCF_000022985.1_ASM2298v1	7.73
GCF_000294775.2_ASM29477v2	7.729
GCF_000017245.1_ASM1724v1	7.727
GCF_000210895.1_ASM21089v1	7.725
GCF_000241025.1_ASM24102v2	7.725
GCF_000585995.1_ASM58599v1	7.72
GCF_000014165.1_ASM1416v1	7.718
GCF_000007845.1_ASM784v1	7.715
GCF_000007825.1_ASM782v1	7.705
GCF_001558435.1_ASM155843v1	7.705
GCF_000299235.1_ASM29923v1	7.688
GCF_001038625.1_ASM103862v1	7.685
GCF_000007745.1_ASM774v1	7.684
GCF_000014705.1_ASM1470v1	7.684
GCF_000015185.1_ASM1518v1	7.684
GCF_000015245.1_ASM1524v1	7.684
GCF_000015845.1_ASM1584v1	7.684
GCF_000015885.1_ASM1588v1	7.684
GCF_000016065.1_ASM1606v1	7.684
GCF_000018285.1_ASM1828v1	7.684
GCF_000146165.2_ASM14616v2	7.684
GCF_000148645.1_ASM14864v1	7.684
GCF_000196395.1_ASM19639v1	7.684
GCF_000512185.1_ASM51218v1	7.684
GCF_000520015.2_ASM52001v2	7.684
GCF_001447335.1_ASM144733v1	7.684
GCF_000023945.1_ASM2394v1	7.681
GCF_000471925.1_ASM47192v1	7.672
GCF_000203875.1_ASM20387v1	7.671
GCF_000091305.1_ASM9130v1	7.668
GCF_900087055.1_31289_E01	7.659
GCF_000940995.1_ASM94099v1	7.657
GCF_001586155.1_ASM158615v1	7.656
GCF_000816265.1_ASM81626v1	7.651
GCF_000166055.1_ASM16605v1	7.625
GCF_000165835.1_ASM16583v1	7.623
GCF_000024685.1_ASM2468v1	7.621
GCF_001028085.1_ASM102808v1	7.621
GCF_000590925.1_ASM59092v1	7.612
GCF_000144915.1_ASM14491v1	7.606
GCF_000058485.1_ASM5848v1	7.603
GCF_000014725.1_ASM1472v1	7.593
GCF_000376545.2_ASM37654v2	7.593
GCF_001579905.1_ASM157990v1	7.592
GCF_000010625.1_ASM1062v1	7.582
GCF_000511355.1_ASM51135v1	7.579
GCF_000734975.2_ASM73497v2	7.571
GCF_000014905.1_ASM1490v1	7.565
GCF_000012985.1_ASM1298v1	7.558
GCF_000284235.1_ASM28423v1	7.557
GCF_000246985.2_ASM24698v3	7.549
GCF_001484685.1_ASM148468v1	7.549
GCF_000014065.1_ASM1406v1	7.545
GCF_001634365.1_ASM163436v1	7.541
GCF_000763575.1_ASM76357v1	7.538
GCF_001578185.1_ASM157818v1	7.533
GCF_000013785.1_ASM1378v1	7.53
GCF_000758565.1_ASM75856v1	7.53
GCF_000758725.1_ASM75872v1	7.53
GCF_000696485.1_ASM69648v1	7.523
GCF_000023985.1_ASM2398v1	7.507
GCF_000024365.1_ASM2436v1	7.507
GCF_000091665.1_ASM9166v1	7.507
GCF_000446015.1_ASM44601v1	7.502
GCF_000196675.1_ASM19667v1	7.49
GCF_000144695.1_ASM14469v1	7.486
GCF_000016965.1_ASM1696v1	7.48
GCF_000143685.1_ASM14368v1	7.48
GCF_000340885.1_ASM34088v1	7.48
GCF_000968375.1_ASM96837v1	7.48
GCF_000022325.1_ASM2232v1	7.475
GCF_000166355.1_ASM16635v1	7.475
GCF_000166695.1_ASM16669v1	7.475
GCF_000145215.1_ASM14521v1	7.473
GCF_000166335.1_ASM16633v1	7.473
GCF_000344805.1_ASM34480v1	7.47
GCF_000019525.1_ASM1952v1	7.461
GCF_000829195.1_ASM82919v1	7.46
GCF_000023385.1_ASM2338v1	7.453
GCF_000009825.1_ASM982v1	7.452
GCF_001308265.1_ASM130826v1	7.447
GCF_000146565.1_ASM14656v1	7.446
GCF_000165925.1_ASM16592v1	7.446
GCF_000195515.1_ASM19551v1	7.446
GCF_001553895.1_ASM155389v1	7.446
GCF_000017225.1_ASM1722v1	7.441
GCF_000018485.1_ASM1848v1	7.441
GCF_000236065.1_ASM23606v1	7.438
GCF_001421015.1_ASM142101v1	7.436
GCF_000009885.1_ASM988v1	7.435
GCF_000017665.1_ASM1766v1	7.435
GCF_000230895.2_ASM23089v3	7.435
GCF_000367425.1_ASM36742v1	7.435
GCF_000724505.1_ASM72450v1	7.435
GCF_000807415.2_ASM80741v4	7.435
GCF_001022135.1_ASM102213v1	7.435
GCF_000304355.2_Mb_MS2	7.43
GCF_000011185.1_ASM1118v1	7.423
GCF_000317045.1_ASM31704v1	7.423
GCF_001026985.1_ASM102698v1	7.41
GCF_000016325.1_ASM1632v1	7.387
GCF_000176835.2_ASM17683v2	7.387
GCF_000187705.1_ASM18770v1	7.387
GCF_000215745.1_ASM21574v1	7.387
GCF_000286275.1_ASM28627v1	7.387
GCF_000632395.1_ASM63239v1	7.387
GCF_000757825.1_ASM75782v1	7.387
GCF_001277195.1_ASM127719v1	7.387
GCF_001277255.1_ASM127725v1	7.387
GCF_001559255.1_ASM155925v1	7.387
GCF_001586165.1_ASM158616v1	7.387
GCF_001652505.1_ASM165250v1	7.387
GCF_000484535.1_ASM48453v1	7.386
GCF_000194135.1_ASM19413v1	7.385
GCF_000327505.1_ASM32750v1	7.38
GCF_000597865.1_ASM59786v1	7.378
GCF_000009025.1_ASM902v1	7.375
GCF_000025025.1_ASM2502v1	7.375
GCF_000177235.2_ASM17723v2	7.372
GCF_000015085.1_ASM1508v1	7.368
GCF_000012545.1_ASM1254v1	7.356
GCF_000498975.2_ASM49897v2	7.338
GCF_000093145.3_ASM9314v2	7.332
GCF_900011245.1_BF49.v1	7.332
GCF_000196835.1_ASM19683v1	7.331
GCF_000247715.1_ASM24771v1	7.331
GCF_000495505.1_ASM49550v1	7.32
GCF_000015025.1_ASM1502v1	7.316
GCF_000013445.1_ASM1344v1	7.303
GCF_000970325.1_ASM97032v1	7.299
GCF_000807275.1_ASM80727v1	7.295
GCF_000758685.1_ASM75868v1	7.288
GCF_001010785.1_ASM101078v1	7.285
GCF_001465545.3_ASM146554v3	7.285
GCF_000739375.1_ASM73937v1	7.284
GCF_000237305.1_ASM23730v1	7.281
GCF_000473245.1_ASM47324v1	7.281
