	sulfur	carbon	oxygen	iron	nitrogen
Chloroherpeton thalassium ATCC 35110	6.913	11.573	3.971	4.512	11.801
Magnetococcus marinus MC-1	6.864	9.034	5.274	7.856	15.084
Metallosphaera sedula DSM 5348	6.753	5.034	2.66	2.136	11.424
Nautilia profundicola AmH	6.725	6.192	1.531	5.173	9.372
Sulfurospirillum barnesii SES-3	6.684	12.337	5.387	7.158	14.221
Thermofilum sp. 1910b	6.624	8.25	-0.432	0.534	6.805
Sulfurospirillum multivorans DSM 12446	6.612	7.968	6.022	8.062	15.061
Campylobacter concisus	6.57	3.128	1.417	6.818	9.44
Coriobacteriaceae bacterium 68-1-3	6.535	6.911	0.58	2.797	7.32
Acidithiobacillus caldus ATCC 51756	6.525	4.058	2.741	2.319	11.967
Geobacter lovleyi SZ	6.524	7.042	3.311	6.834	14.414
Methanosalsum zhilinae DSM 4017	6.514	76.062	5.074	3.159	10.753
Methanothermococcus okinawensis IH1	6.507	76.593	4.981	0.735	8.441
Magnetospirillum gryphiswaldense MSR-1 v2	6.505	5.806	6.268	8.785	17.102
Anaeromyxobacter sp. Fw109-5	6.463	6.382	5.208	7.524	15.774
Methanosarcina vacuolata Z-761	6.419	78.828	4.8	0.429	9.924
Methanobacterium sp. MB1	6.409	74.462	4.229	0.596	9.301
Petrotoga mobilis SJ95	6.398	4.892	1.203	0.199	7.113
Arcobacter nitrofigilis DSM 7299	6.395	9.606	5.736	7.886	16.366
Methanococcus aeolicus Nankai-3	6.328	77.295	4.981	0.712	8.361
Anaeromyxobacter sp. K	6.327	4.888	5.321	7.924	16.18
Campylobacter concisus 13826	6.317	4.791	0.951	8.331	9.188
Chloroflexus aggregans DSM 9485	6.291	11.056	5.103	4.19	14.694
Methanotorris igneus Kol 5	6.285	74.455	4.981	0.512	8.153
Methanosarcina barkeri 3	6.276	78.274	5.659	0.757	11.01
Methanothermobacter marburgensis str. Marburg	6.27	77.881	4.585	0.438	8.449
Methanothermobacter sp. CaT2	6.245	77.748	4.741	0.438	8.605
Sulfurospirillum cavolei	6.225	9.712	6.022	7.64	15.061
Campylobacter curvus 525.92	6.219	4.065	1.345	7.08	9.85
Thermococcus litoralis DSM 5473	6.189	11.294	-0.22	0.151	7.106
Chloroflexus aurantiacus J-10-fl	6.179	11.687	6.16	3.396	15.806
Methanosarcina sp. WWM596	6.168	78.775	4.419	2.81	11.18
Caldilinea aerophila DSM 14535 = NBRC 104270	6.159	11.576	4.1	7.131	15.095
Methanococcus voltae A3	6.122	71.467	3.563	0.661	6.619
Methanococcus vannielii SB	6.106	76.499	3.735	0.533	6.942
Magnetospirillum magneticum AMB-1	6.094	9.831	5.708	10.241	16.642
Syntrophus aciditrophicus SB	6.093	8.302	0.53	5.025	7.379
Thermacetogenium phaeum DSM 12270	6.077	18.119	3.459	3.012	9.233
Methanothermobacter thermautotrophicus str. Delta H	6.054	77.383	4.526	0.438	8.295
Campylobacter ureolyticus RIGS 9880	6.047	7.707	1.527	7.435	9.628
Aciduliprofundum sp. MAR08-339	6.043	4.96	-0.184	0.431	6.089
Methanobrevibacter millerae	6.022	70.318	3.497	0.596	6.853
Thermococcus guaymasensis DSM 11113	6.017	11.384	-0.423	-0.12	6.851
Methanocaldococcus jannaschii DSM 2661	6.002	75.861	5.084	0.289	7.97
Methanohalobium evestigatum Z-7303	6	77.065	5.999	3.986	11.465
Thermococcus sp. 2319x1	5.993	5.599	-0.502	0.667	7.398
Pyrococcus horikoshii OT3	5.989	7.145	-0.351	0.103	5.527
Methanococcus maripaludis C5	5.947	76.744	3.924	0.651	6.935
Caldivirga maquilingensis IC-167	5.945	4.102	1.44	2.276	8.413
Thermococcus eurythermalis	5.937	8.719	-0.43	-0.066	6.788
Methanothermus fervidus DSM 2088	5.935	75.988	5.084	0.512	7.841
Methanosarcina barkeri MS	5.93	79.143	4.467	0.041	10.605
Methanosarcina lacustris Z-7289	5.93	78.621	5.058	2.294	10.303
Eggerthella lenta DSM 2243	5.922	4.869	-0.541	4.238	8.234
Methanococcus maripaludis S2	5.904	77.375	4.981	0.496	7.911
Methanocaldococcus fervens AG86	5.894	76.666	4.981	0.223	8.153
Methanosarcina mazei Go1	5.877	78.605	4.673	2.254	10.587
Dehalococcoides mccartyi CBDB1	5.877	11.297	1.199	1.604	8.631
Thermococcus kodakarensis KOD1	5.867	5.013	-0.43	0.06	6.817
Campylobacter volucris LMG 24379	5.864	2.576	1.791	7.621	11.193
Thermococcus nautili	5.856	9.236	-0.423	0.223	6.43
Dehalococcoides mccartyi 195	5.851	18.381	3.933	1.604	9.297
Campylobacter iguaniorum	5.848	4.657	2.505	7.925	11.585
Methanosarcina barkeri str. Fusaro	5.842	77.795	5.102	0.416	10.472
Calditerrivibrio nitroreducens DSM 19672	5.837	8.55	3.333	5.675	12.283
Methanobacterium lacus	5.836	75.355	4.4	1.259	9.256
Geobacter sp. M18	5.829	8.972	4.876	7.906	15.794
Thermococcus sibiricus MM 739	5.821	7.253	-0.299	0.151	7.78
Desulfurella acetivorans A63	5.789	8.497	1.357	5.843	11.182
Methanohalophilus mahii DSM 5219	5.779	75.803	5.429	3.845	11.338
Methanoregula formicica SMSP	5.778	76.423	5.027	0.743	9.064
Thioalkalivibrio versutus	5.777	6.388	3.555	3.909	14.351
Methanosarcina acetivorans C2A	5.753	78.779	4.589	2.553	11.811
Dehalococcoides mccartyi VS	5.744	11	1.197	1.604	8.218
Ectothiorhodospira sp. BSL-9	5.74	11.194	5.072	8.039	14.767
Methanolinea tarda NOBI-1	5.738	67.997	4.152	1.096	10.713
Acetomicrobium mobile DSM 13181	5.73	16.623	-0.031	0.938	6.166
Methanosarcina sp. MTP4	5.721	78.791	4.34	2.188	11.275
Campylobacter hyointestinalis subsp. lawsonii	5.713	4.215	2.577	7.925	12.009
Thermococcus sp. AM4	5.703	6.338	-0.423	0.223	6.42
Halothermothrix orenii H 168	5.701	7.392	1.292	0.502	5.618
Geobacter sulfurreducens PCA	5.695	10.391	5.546	9.136	16.557
Geobacter sp. M21	5.692	9.607	4.976	9.278	15.342
Methanolobus psychrophilus R15	5.692	77.376	4.329	1.685	11.609
Methanosarcina horonobensis HB-1 = JCM 15518	5.652	78.987	4.777	2.944	11.891
Campylobacter coli CVM N29710	5.635	3.823	2.484	7.412	11.808
Anaeromyxobacter dehalogenans 2CP-C	5.633	3.128	3.039	7.924	15.203
Methanobrevibacter sp. AbM4	5.629	71.014	4.948	0.743	7.688
Thermus oshimai JL-2	5.612	4.106	3.692	7.462	14.903
Adlercreutzia equolifaciens DSM 19450	5.601	6.198	-0.066	3.621	7.885
Roseiflexus sp. RS-1	5.58	7.547	5.099	3.764	14.338
Roseiflexus castenholzii DSM 13941	5.58	7.547	5.099	5.518	14.338
Rhodothermus marinus DSM 4252	5.574	4.549	2.973	5.112	14.832
Methanosarcina thermophila TM-1	5.561	78.815	4.726	1.145	10.706
Heliobacterium modesticaldum Ice1	5.558	11.691	3.507	6.492	11.977
Campylobacter gracilis	5.543	7.151	2.131	7.208	10.011
Halobacteroides halobius DSM 5150	5.539	5.214	2.357	0.938	6.825
Caldisphaera lagunensis DSM 15908	5.532	2.11	-0.021	2.061	8.756
Methanobrevibacter ruminantium M1	5.529	69.653	3.81	0.654	7.347
Methanobacterium paludis	5.522	75.045	4.451	1.259	9.645
Geobacter daltonii FRC-32	5.51	11.055	4.394	7.828	15.111
Syntrophothermus lipocalidus DSM 12680	5.505	8.649	2.839	1.672	9.911
Methanobacterium formicicum	5.505	73.918	4.475	0.601	8.393
Thermus aquaticus Y51MC23	5.494	3.452	4.002	4.298	13.42
Methanobrevibacter smithii ATCC 35061	5.488	71.521	3.891	0.743	6.712
Methanoculleus marisnigri JR1	5.477	68.552	4.657	1.086	9.422
Campylobacter subantarcticus LMG 24374	5.47	2.405	2.076	6.746	11.387
Candidatus Filomicrobium marinum	5.464	14.911	4.319	7.267	15.897
Sulfolobus acidocaldarius DSM 639	5.457	3.265	3.498	2.734	11.849
Thermus scotoductus SA-01	5.447	3.575	2.7	5.584	13.627
Thermoanaerobacter kivui	5.437	11.894	2.333	0.902	7.423
Methanospirillum hungatei JF-1	5.435	73.622	4.506	1.068	9.272
Denitrovibrio acetiphilus DSM 12809	5.418	6.944	4.351	6.829	13.372
Methanosarcina siciliae T4/M	5.405	78.995	4.73	2.655	12.069
Geobacter bemidjiensis Bem	5.401	9.607	4.976	9.278	15.342
Sulfurovum lithotrophicum	5.397	4.782	2.771	7.088	13.071
Candidatus Korarchaeum cryptofilum OPF8	5.394	6.362	-0.327	2.696	7.786
Geobacter pickeringii	5.375	9.041	4.932	8.606	15.833
Marichromatium purpuratum 984	5.372	10.699	4.887	7.826	15.427
Sulfolobus tokodaii str. 7	5.341	3.837	4.134	2.136	12.283
Methanoregula boonei 6A8	5.336	74.236	5.038	1.508	10.79
Geobacter uraniireducens Rf4	5.334	8.136	5.062	9.136	15.541
Alkalilimnicola ehrlichii MLHE-1	5.308	4.026	3.659	8.431	14.762
Methanosphaerula palustris E1-9c	5.308	72.551	4.461	1.187	11.419
Sulfolobus solfataricus P2	5.307	3.568	2.56	2.136	11.828
Acidilobus saccharovorans 345-15	5.303	1.922	-0.514	0.769	8.307
Thermococcus gammatolerans EJ3	5.281	10.256	-0.153	0.155	5.813
Marinithermus hydrothermalis DSM 14884	5.279	2.591	3.103	4.298	13.549
Desulfitobacterium dichloroeliminans LMG P-21439	5.278	13.389	2.431	7.174	12.218
Slackia heliotrinireducens DSM 20476	5.271	2.408	-0.873	4.159	7.298
Methanosphaera stadtmanae DSM 3091	5.264	67.195	4.072	0.743	7.224
Syntrophobotulus glycolicus DSM 8271	5.258	14.785	3.874	0.813	11.112
Methanosaeta concilii GP6	5.25	74.316	4.487	0.757	11.024
Campylobacter hyointestinalis subsp. hyointestinalis LMG 9260	5.237	5.152	2.505	7.925	11.585
Methylacidiphilum infernorum V4	5.231	6.335	6.936	4.989	17.24
Cryptobacterium curtum DSM 15641	5.229	3.944	-1.402	2.65	5.83
Edwardsiella tarda EIB202	5.203	6.169	1.622	4.782	12.993
Geoalkalibacter subterraneus	5.191	6.66	1.992	7.007	11.888
Eggerthella sp. YY7918	5.189	5.898	0.447	3.902	8.028
Pelobacter propionicus DSM 2379	5.176	8.817	4.366	4.587	11.714
Sulfolobus islandicus L.S.2.15	5.128	3.568	2.56	1.921	11.828
Methylacidiphilum fumariolicum SolV	5.128	7.111	7.017	5.111	16.89
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1	5.123	34.908	4.728	0.471	8.686
Sorangium cellulosum So ce56	5.114	5.446	3.389	7.04	16.175
Meiothermus silvanus DSM 9946	5.105	5.084	3.437	5.524	15.425
Anaerolinea thermophila UNI-1	5.095	6.104	3.149	6.297	12.155
Deferribacter desulfuricans SSM1	5.091	8.915	0.097	6.434	11.312
Thermus sp. CCB_US3_UF1	5.035	3.388	3.956	5.584	13.271
Methanococcus maripaludis C7	5.011	76.744	3.924	0.719	6.935
Methanococcus maripaludis C6	5.011	76.744	3.924	0.651	6.935
Thermogladius cellulolyticus 1633	5.004	5.025	-0.34	0.274	5.448
Marinovum algicola DG 898	4.992	5.568	3.547	6.404	16.391
Hippea maritima DSM 10411	4.984	9.826	1.283	1.554	7.696
Candidatus Atelocyanobacterium thalassa isolate ALOHA	4.959	4.866	5.757	3.104	9.285
Acetohalobium arabaticum DSM 5501	4.958	14.368	2.333	0.651	7.529
Dehalobacter restrictus DSM 9455	4.95	13.796	1.173	1.637	8.917
Burkholderiales bacterium GJ-E10	4.946	5.856	6.615	5.976	16.586
Methylomonas denitrificans	4.924	17.887	7.542	7.972	17.175
Flexistipes sinusarabici DSM 4947	4.923	5.886	1.154	5.363	11.757
Campylobacter peloridis LMG 23910	4.87	2.884	2.095	7.54	11.021
Caldicellulosiruptor owensensis OL	4.849	13.008	0.691	0.47	7.094
Synechocystis sp. PCC 6803	4.842	8.514	7.64	4.215	15.064
Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819	4.82	3.845	2.482	7.555	12.182
Desulfitobacterium hafniense Y51	4.813	15.548	4.809	7.001	12.88
Methanoculleus bourgensis MS2	4.805	72.943	4.815	1.285	10.16
Thermoplasma volcanium GSS1	4.801	4.996	-0.413	1.903	7.819
Caldicellulosiruptor obsidiansis OB47	4.799	8.769	0.763	0.47	6.818
Peptoclostridium acidaminophilum DSM 3953	4.795	5.559	0.775	0.464	8.439
Halorhodospira halophila SL1	4.793	9.797	4.419	7.569	13.748
Planctopirus limnophila DSM 3776	4.782	15.319	4.405	5.752	14.566
Mobiluncus curtisii ATCC 43063	4.782	2.504	-0.091	0.572	8.448
Edwardsiella tarda	4.778	5.72	1.67	5.013	12.752
Rhodovulum sulfidophilum	4.775	8.024	6.971	5.571	15.926
Geobacillus sp. Y4.1MC1	4.774	8.741	3.068	4.139	14.427
Campylobacter insulaenigrae NCTC 12927	4.77	2.756	2.108	6.685	11.438
Kyrpidia tusciae DSM 2912	4.767	3.803	4.344	4.312	13.795
cyanobacterium endosymbiont of Epithemia turgida isolate EtSB Lake Yunoko	4.764	5.425	7.076	3.311	10.213
Dehalobacter sp. DCA	4.757	16.332	3.455	1.81	9.894
Caldicellulosiruptor bescii DSM 6725	4.737	10.499	1.781	0.47	8.086
Caldicellulosiruptor kristjanssonii I77R1B	4.737	12.097	4.03	0.47	9.047
Thermus thermophilus HB27	4.708	3.705	3.903	4.298	14.153
Desulfurococcus kamchatkensis 1221n	4.689	3.978	-0.206	0.132	4.654
Selenomonas sp. oral taxon 478	4.684	9.108	2.732	3.534	8.188
Desulfurispirillum indicum S5	4.681	8.311	5.541	6.385	13.714
Desulfurococcus mucosus DSM 2162	4.675	4.008	-0.645	0.132	4.535
Selenomonas sputigena ATCC 35185	4.672	9.803	1.73	4.153	9.223
Leptospirillum ferriphilum ML-04	4.659	7.587	3.612	5.344	11.914
Symbiobacterium thermophilum IAM 14863	4.64	6.013	2.974	7.634	12.822
Campylobacter lari RM2100	4.63	2.361	1.996	7.54	11.862
Campylobacter lari subsp. concheus LMG 11760	4.626	2.405	2.076	7.621	11.071
Campylobacter sp. RM16704	4.626	2.647	2.175	7.621	10.469
Ferroplasma acidarmanus fer1	4.595	1.79	1.89	1.881	10.867
Campylobacter fetus subsp. fetus 82-40	4.589	4.846	2.36	7.389	11.947
Methanomethylovorans hollandica DSM 15978	4.578	76.537	5.645	2.914	13.178
Halothece sp. PCC 7418	4.566	9.117	8.161	4.236	16.248
Geobacter metallireducens GS-15	4.556	9.332	4.956	9.278	15.908
Calothrix sp. PCC 6303	4.547	9.846	7.005	3.628	17.177
Aggregatibacter actinomycetemcomitans ANH9381	4.542	4.849	0.549	4.784	6.712
Isosphaera pallida ATCC 43644	4.541	15.618	3.781	6.693	14.111
Campylobacter fetus subsp. testudinum 03-427	4.541	4.846	2.36	8.183	11.947
Halorhabdus utahensis DSM 12940	4.539	13.339	3.386	3.742	13.053
Methanolacinia petrolearia DSM 11571	4.516	71.905	4.672	0.428	9.74
Candidatus Methanomethylophilus alvus Mx1201	4.516	28.073	4.897	0.529	8.681
Methylomonas sp. DH-1	4.516	18.24	8.267	4.193	16.342
Paenibacillus sabinae T27	4.504	6.567	6.35	3.99	13.894
Rhodobacter sphaeroides ATCC 17025	4.504	8.62	6.329	8.587	18.065
Coprothermobacter proteolyticus DSM 5265	4.493	3.542	0.403	0.472	5.365
Selenomonas ruminantium subsp. lactilytica TAM6421	4.493	11.577	3.216	3.91	9.382
Leptospirillum ferrooxidans C2-3	4.489	10.211	6.235	6.762	14.329
Synechocystis sp. PCC 6714	4.479	8.514	7.64	3.777	15.064
Paenibacillus durus	4.444	6.267	5.689	3.94	14.618
Defluviitoga tunisiensis	4.443	-0.474	0.422	0.818	3.767
Dehalogenimonas lykanthroporepellens BL-DC-9	4.434	11.134	1.993	4.463	11.582
Halothiobacillus neapolitanus c2	4.403	6.016	5.452	4.247	15.755
Methylococcus capsulatus str. Bath	4.401	18.303	6.648	7.768	19.03
Anabaena sp. 90	4.395	11.543	7.165	3.843	16.505
Methanococcoides burtonii DSM 6242	4.394	77.602	4.527	3.997	10.825
Desulfitobacterium dehalogenans ATCC 51507	4.386	14.727	2.47	7.174	13.178
Desulfuromonas soudanensis	4.383	10.183	5.341	8.921	14.581
Singulisphaera acidiphila DSM 18658	4.37	15.97	3.905	5.726	16.543
Pelobacter carbinolicus DSM 2380	4.368	10.467	5.986	4.634	13.262
Arcobacter butzleri RM4018	4.366	6.289	2.812	7.95	13.043
Methanocorpusculum labreanum Z	4.358	71.224	3.607	0.793	8.861
Caldicellulosiruptor hydrothermalis 108	4.358	11.816	3.949	0.47	9.296
Salmonella enterica subsp. arizonae serovar 62:z4,z23:-	4.356	5.54	2.669	5.671	14.398
Rubrobacter radiotolerans	4.346	4.777	3.953	1.506	13.425
Methanococcoides methylutens MM1	4.327	77.072	5.306	4.539	11.765
Mycobacterium marinum M	4.267	4.211	4.614	2.22	15.184
Campylobacter lari NCTC 11845	4.267	2.642	1.996	7.621	11.445
gamma proteobacterium HdN1	4.249	3.256	3.311	3.864	14.916
Haemophilus parainfluenzae T3T1	4.247	3.632	0.965	5.157	8.391
Dictyoglomus turgidum DSM 6724	4.243	6.041	1.07	0.678	5.013
Aggregatibacter aphrophilus NJ8700	4.231	4.486	1.232	5.157	8.267
Thermovirga lienii DSM 17291	4.225	7.258	-0.502	1.34	5.643
Sorangium cellulosum So0157-2	4.223	6.966	4.246	7.322	16.998
Desulfitobacterium metallireducens DSM 15288	4.204	13.808	2.298	7.093	12.219
Thermosphaera aggregans DSM 11486	4.201	2.5	-0.29	-0.091	3.81
Synechococcus sp. PCC 7003	4.198	8.931	8.155	4	15.187
Thermoplasmatales archaeon BRNA1	4.195	24.855	2.554	0.684	6.658
