# dom_assign_file=pfam_cover10/GENOMAS_NCBI_nr_24042014_size30_cover10.faa.pf.tab list_file=LISTA_AZUFREabril2014 dom_assign_file2=

# number of taxa in LISTA_AZUFREabril2014 = 93

	PF00005	PF00009	PF00034	PF00037	PF00106	PF00111	PF00124	PF00171	PF00174	PF00175	PF00202	PF00205	PF00258	PF00291	PF00296	PF00355	PF00374	PF00378	PF00384	PF00389	PF00441	PF00459	PF00484	PF00501	PF00528	PF00534	PF00556	PF00557	PF00581	PF00667	PF00848	PF00890	PF00970	PF01011	PF01058	PF01070	PF01077	PF01087	PF01208	PF01292	PF01370	PF01384	PF01507	PF01515	PF01547	PF01553	PF01568	PF01571	PF01583	PF01613	PF01747	PF02167	PF02332	PF02406	PF02515	PF02615	PF02635	PF02662	PF02665	PF02668	PF02770	PF02771	PF02775	PF02776	PF02826	PF02872	PF02910	PF03144	PF03358	PF03404	PF03460	PF03916	PF03967	PF04069	PF04077	PF04173	PF04295	PF04358	PF04663	PF04879	PF04945	PF05239	PF05398	PF06099	PF07680	PF07682	PF07883	PF07992	PF08669	PF08770	PF09084	PF09242	PF09459	PF10418	PF10518	PF11511	PF12139	PF12798	PF12806	PF12831	PF12838	PF12857	PF13183	PF13193	PF13237	PF13247	PF13360	PF13442	PF13501	PF13570	PF13577	PF13579	PF13746	PF14306
Acidianus hospitalis W1	1	1	0	1	1	0	0	1	1	0	1	0	0	1	0	1	0	1	1	1	1	0	0	1	0	1	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0
Acidilobus saccharovorans 345-15	1	1	0	1	1	0	0	1	1	0	1	0	0	1	0	1	0	1	0	1	1	1	0	1	1	1	0	1	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	0	0	0	1	0	0	0	0	0	1	1	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1
Acidimicrobium ferrooxidans DSM 10331	1	1	0	1	1	0	0	1	1	0	1	0	0	1	1	1	0	1	1	0	1	1	0	1	1	1	0	1	1	0	0	1	0	1	1	1	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0
Acidiphilium multivorum AIU301	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1	1	1	0	1	1	1	1	0	1	0	1	1	0	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	0	1	1	1	0	0	0	0
Acidithiobacillus caldus SM-1	1	1	0	1	1	1	0	0	0	0	1	0	0	1	1	1	0	0	1	0	0	1	0	1	0	1	0	1	1	0	0	1	1	1	1	1	0	0	1	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	1	1	0	0	0	0
Acidithiobacillus ferrivorans SS3	1	1	1	1	1	1	0	1	0	0	1	0	0	1	1	1	0	0	1	1	0	1	1	1	0	1	0	1	1	0	0	1	1	1	1	0	1	0	1	0	1	0	1	1	0	1	0	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	1	1	1	0	0	1	1	0	0	0	1
Acidithiobacillus ferrooxidans ATCC 23270	1	1	1	1	1	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	1	1	1	0	1	0	1	1	0	0	1	0	1	1	1	1	0	1	0	1	0	1	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	1
Acidobacterium capsulatum ATCC 51196	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	0	0	1	1	0	1	1	1	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0
Acidothermus cellulolyticus 11B	1	1	1	1	1	1	0	1	0	0	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	0	0	1	1	0	1	1	0	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	1	0
Acidovorax avenae subsp. avenae ATCC 19860	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	0	0	1	0	1	1	1	1	0	1	1	1	1	1	0	1	0	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0
Acidovorax citrulli AAC00-1	1	1	1	1	1	1	0	1	1	0	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	0	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	0	1	0	0	1	0	0	0	1	1	1	1	1	1	1	0	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	1	1	1	0	0	0	0	1	0	1	0
Acidovorax sp. JS42	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	0	1	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	0	1	0	1	1	1	1	1	0	0	1	1	0	1	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	1	1	0	1	0	0	0	0	1	0
Acidovorax sp. KKS102	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	1	1	0	1	1	1	0	1	0	1	0	0	1	0	0	0	1	1	1	1	1	1	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	1	0	1	1	0	1	1	1	0	1	0	0	1	0	1	0
Aciduliprofundum boonei T469	1	1	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	1	0	0	1	1	0	0	0	0	1	1	1	0	0	0	1	1	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0
Aciduliprofundum sp. MAR08-339	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0	0	1	1	0	1	0	0	0	1	0	0	1	1	0	0	0	0	1	1	1	0	0	0	1	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0
Acinetobacter baumannii TCDC-AB0715	1	1	0	1	1	1	0	1	0	1	1	0	0	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	0	1	1	0	1	0	0	0	0	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0
Acinetobacter oleivorans DR1	1	1	0	1	1	1	0	1	0	1	1	1	0	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	0	0	1	0	1	0	0	1	1	1	0	1	0	0	1	1	1	1	1	1	1	0	1	1	0	1	0	0	0	0	0	1	1	1	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0
Acinetobacter sp. ADP1	1	1	0	1	1	1	0	1	0	0	1	0	0	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	0	0	1	0	1	0	1	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0
Actinobacillus pleuropneumoniae serovar 7 str. AP76	1	1	0	1	1	1	0	1	0	0	1	1	0	1	0	0	1	1	1	1	0	1	1	1	1	0	0	1	0	1	0	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1	1	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0
Actinobacillus succinogenes 130Z	1	1	0	1	1	1	0	1	1	0	1	0	1	1	0	0	1	1	1	1	0	1	1	0	1	1	0	1	1	0	0	0	0	0	1	0	0	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	1	1	0	1	0	0	1	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0
Actinobacillus suis H91-0380	1	1	0	1	1	1	0	1	1	0	1	1	1	0	1	0	0	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	0	0	0	1	1	1	1	0	1	1	1	1	0	1	1	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	1	1	0	1	1	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0
Actinoplanes friuliensis DSM 7358	1	1	0	1	1	1	0	1	1	0	1	0	0	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	1	1	0	1	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	1	0	1	0	0	0	1	0	0	0	1	1	1	0	0	1	1	1	0	0	0	0	1	1	0	0
Actinoplanes missouriensis 431	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	0	0	1	1	1	1	1	1	1	0	0	1	1	0	1	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	1	1	0	1	0	0	0	1	0	0	0	0	1	1	0	0	1	1	1	0	1	0	0	0	1	0	0
Actinoplanes sp. N902-109	1	1	0	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	1	1	0	0
Actinoplanes sp. SE50/110	1	1	1	1	1	1	0	1	1	0	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	0	0	0	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	0	0	0	1	0	0	0	0
Actinosynnema mirum DSM 43827	1	1	1	1	1	0	0	1	1	0	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	0	1	0	0	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	1	0	0	0	1	0	0	0	1	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0
Adlercreutzia equolifaciens DSM 19450	1	1	0	1	1	0	0	1	1	0	1	0	0	0	0	0	1	1	1	1	1	0	1	1	0	1	0	1	1	0	0	1	0	0	1	1	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0
Advenella kashmirensis WT001	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	0	0	0	1	1	0	1	1	1	0	1	1	0	1	0	1	0	0	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0
Aequorivita sublithincola DSM 14238	1	1	1	1	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	1	1	1	1	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0
Aerococcus urinae ACS-120-V-Col10a	1	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	1	1	0	0	0	1	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aeromonas hydrophila ML09-119	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	0	0	1	0	1	0	0	1	1	1	1	1	1	0	1	1	1	0	1	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	1	1	0	1	0	0	1	1	0	0	0	0	1	1	0	0	1	1	1	0	0	0	1	0	0	1	0
Aeromonas salmonicida subsp. salmonicida A449	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	0	1	0	0	1	0	1	1	1	0	1	1	1	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	0	0	1	0	1	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0	0	0	1	0	0	1	0
Aeromonas veronii B565	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	1	0	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	1	0	1	0	0	0	0
Aeropyrum camini SY1 = JCM 12091	1	1	0	1	0	0	0	1	1	0	1	0	0	1	0	1	0	1	1	1	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	1	0	0	0	0	0	0	1	1
Aeropyrum pernix K1	1	1	0	1	1	0	0	1	1	0	1	0	0	1	0	1	0	1	1	1	1	1	0	1	1	1	0	1	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	1	1	0	0	0	0	0	0	1	1
Aggregatibacter actinomycetemcomitans D7S-1	1	1	0	1	1	1	0	1	0	0	1	0	1	0	0	0	0	1	1	1	0	1	1	1	1	1	0	1	1	0	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	1	0
Aggregatibacter aphrophilus NJ8700	1	1	0	1	1	1	0	1	0	0	1	0	1	1	0	0	1	1	1	1	0	1	1	1	1	0	0	1	1	0	0	1	0	0	1	1	0	1	1	0	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0
Agrobacterium fabrum str. C58	1	1	1	1	1	1	0	1	1	0	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	0	1	0	1	0	0	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	1	1	1	0	1	1	1	0	0	1	0	0	0	0	1	0
Agrobacterium radiobacter K84	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	0	0	1	1	1	1	1	0	1	1	0	1	0	1	0	0	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	1	1	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0
Agrobacterium sp. H13-3	1	1	1	1	1	1	0	1	1	0	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	1	0	1	0	0	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	1	1	1	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Agrobacterium vitis S4	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	0	0	1	1	0	1	1	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1	0	1	0	0	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	1	1	0	1	0	0	0	1	0	0	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0
