	sulfur	carbon	oxygen	iron	nitrogen
GCF_000973625.1_ASM97362v1_protein.faa.named.faa	0.790	11.244	5.800	3.736	14.211
GCF_000022545.1_ASM2254v1_protein.faa.named.faa	5.407	7.253	-0.299	0.151	7.780
GCF_900086555.1_34903_D01_protein.faa.named.faa	-0.724	0.293	1.045	4.101	10.100
GCF_000217995.1_ASM21799v1_protein.faa.named.faa	6.109	76.062	5.074	3.159	10.753
GCF_000445995.2_ASM44599v2_protein.faa.named.faa	2.424	4.111	3.045	4.236	14.320
GCF_000261025.1_ASM26102v1_protein.faa.named.faa	-0.136	0.856	-0.235	4.180	5.981
GCF_001654495.1_ASM165449v1_protein.faa.named.faa	1.409	3.583	4.465	2.276	15.801
GCF_001543175.1_ASM154317v1_protein.faa.named.faa	-2.033	-0.450	0.138	-0.284	2.242
GCF_000017425.1_ASM1742v1_protein.faa.named.faa	2.690	3.363	3.837	3.668	13.205
GCF_000317895.1_ASM31789v1_protein.faa.named.faa	-0.424	0.201	1.189	6.260	10.885
GCF_000017505.1_ASM1750v1_protein.faa.named.faa	5.986	6.382	5.208	7.524	15.774
GCF_000723505.1_Mucivorans_M3_Nelson-Bomar-Fixed_protein.faa.named.faa	1.221	2.044	-0.196	3.163	5.392
GCF_000179915.2_ASM17991v2_protein.faa.named.faa	2.140	6.148	4.263	5.905	15.447
GCF_001499655.1_PNK1_protein.faa.named.faa	0.975	0.437	1.560	2.713	10.475
GCF_000010605.1_ASM1060v1_protein.faa.named.faa	-1.091	2.107	3.410	2.221	15.464
GCF_001007935.1_ASM100793v1_protein.faa.named.faa	0.633	5.741	3.242	8.222	14.624
GCF_000024725.1_ASM2472v1_protein.faa.named.faa	3.709	15.268	3.246	8.551	15.925
GCF_000186885.1_ASM18688v1_protein.faa.named.faa	9.122	10.441	4.100	6.219	13.212
GCF_000262205.1_ASM26220v1_protein.faa.named.faa	-0.515	2.295	0.201	0.713	7.177
GCF_001267395.1_ASM126739v1_protein.faa.named.faa	-0.063	0.284	0.883	0.214	3.044
GCF_000008125.1_ASM812v1_protein.faa.named.faa	4.351	3.705	3.903	4.298	14.153
GCF_000179395.2_ASM17939v2_protein.faa.named.faa	-2.555	0.346	3.175	2.304	11.047
GCF_001274595.1_ASM127459v1_protein.faa.named.faa	0.184	3.285	1.744	4.214	12.644
GCF_000196395.1_ASM19639v1_protein.faa.named.faa	2.158	5.565	2.911	8.554	14.905
GCF_000385525.1_ASM38552v1_protein.faa.named.faa	-0.309	3.751	4.233	5.820	16.224
GCF_000022885.2_ASM2288v2_protein.faa.named.faa	3.321	4.391	1.744	5.729	12.633
GCF_000236585.1_ASM23658v1_protein.faa.named.faa	4.528	3.388	3.956	5.584	13.271
GCF_000014065.1_ASM1406v1_protein.faa.named.faa	1.609	5.106	3.885	4.180	14.568
GCF_001687565.2_ASM168756v2_protein.faa.named.faa	-0.073	1.691	3.078	3.583	10.367
GCF_000576555.1_ASM57655v1_protein.faa.named.faa	-1.056	2.514	4.122	5.136	13.663
GCF_000270305.1_ASM27030v1_protein.faa.named.faa	2.920	8.043	3.738	1.554	9.233
GCF_000816225.1_ASM81622v1_protein.faa.named.faa	4.408	2.405	2.076	7.621	11.071
GCF_001277295.1_ASM127729v1_protein.faa.named.faa	2.629	10.270	6.556	3.628	16.891
GCF_000014285.1_ASM1428v1_protein.faa.named.faa	1.817	16.409	3.374	2.753	15.284
GCF_000145215.1_ASM14521v1_protein.faa.named.faa	4.366	8.769	0.763	0.470	6.818
GCF_000305785.2_ASM30578v2_protein.faa.named.faa	0.780	2.015	2.755	9.290	11.742
GCF_000010645.1_ASM1064v1_protein.faa.named.faa	2.515	4.773	4.404	0.738	8.648
GCF_000174395.2_ASM17439v2_protein.faa.named.faa	-0.045	0.645	1.700	0.429	2.515
GCF_000154745.2_ASM15474v2_protein.faa.named.faa	1.820	4.723	3.805	3.885	14.806
GCF_000954115.1_ASM95411v1_protein.faa.named.faa	-1.591	1.951	4.709	2.165	15.643
GCF_000336465.1_ASM33646v1_protein.faa.named.faa	-1.085	3.185	3.569	5.435	15.398
GCF_000204925.1_ASM20492v1_protein.faa.named.faa	3.617	2.888	1.306	2.136	10.865
GCF_000517625.1_ASM51762v1_protein.faa.named.faa	1.179	9.687	3.463	1.587	13.756
GCF_000007105.1_ASM710v1_protein.faa.named.faa	-1.065	6.159	5.132	3.758	9.804
GCF_001029105.3_ASM102910v3_protein.faa.named.faa	1.830	4.877	3.565	4.784	16.514
GCF_001017655.1_ASM101765v1_protein.faa.named.faa	1.771	1.886	0.817	0.639	5.312
GCF_000300455.3_ASM30045v4_protein.faa.named.faa	2.885	7.673	4.632	2.094	15.065
GCF_000807415.2_ASM80741v4_protein.faa.named.faa	2.021	5.848	2.142	1.578	13.214
GCF_000018425.1_ASM1842v1_protein.faa.named.faa	11.529	17.490	4.775	1.514	10.211
GCF_000772105.1_ASM77210v1_protein.faa.named.faa	0.570	3.275	3.034	8.001	11.739
GCF_000828675.1_ASM82867v1_protein.faa.named.faa	2.732	1.886	0.128	0.536	4.502
GCF_000145255.1_ASM14525v1_protein.faa.named.faa	3.378	5.865	4.305	7.335	12.073
GCF_000203875.1_ASM20387v1_protein.faa.named.faa	1.425	3.586	3.308	8.120	16.570
GCF_000013885.1_ASM1388v1_protein.faa.named.faa	1.525	1.747	4.295	6.141	15.727
GCF_001281385.1_ASM128138v1_protein.faa.named.faa	3.936	6.124	3.768	3.982	12.276
GCF_000812185.1_ASM81218v1_protein.faa.named.faa	3.078	2.397	2.787	2.659	9.475
GCF_000317085.1_ASM31708v1_protein.faa.named.faa	1.563	7.998	7.778	3.547	14.404
GCF_000007005.1_ASM700v1_protein.faa.named.faa	5.073	3.568	2.560	2.136	11.828
GCF_000270245.1_ASM27024v1_protein.faa.named.faa	-0.465	1.751	3.576	3.075	15.382
GCF_000828635.1_ASM82863v1_protein.faa.named.faa	8.049	7.563	3.206	8.078	15.124
GCF_000092905.1_ASM9290v1_protein.faa.named.faa	4.622	3.803	4.344	4.312	13.795
GCF_000010665.1_ASM1066v1_protein.faa.named.faa	9.805	10.297	4.561	5.569	12.950
GCF_000014925.1_ASM1492v1_protein.faa.named.faa	-2.274	0.842	3.489	2.571	13.052
GCF_000412695.1_ASM41269v1_protein.faa.named.faa	0.538	3.713	3.396	6.341	15.675
GCF_000307105.1_ASM30710v1_protein.faa.named.faa	10.277	14.577	1.638	5.640	11.406
GCF_000186265.1_ASM18626v1_protein.faa.named.faa	-0.715	0.568	3.475	5.310	11.811
GCF_000023945.1_ASM2394v1_protein.faa.named.faa	4.005	13.339	3.386	3.742	13.053
GCF_000828515.1_ASM82851v1_protein.faa.named.faa	2.083	3.705	2.613	0.956	7.577
GCF_000092505.1_ASM9250v1_protein.faa.named.faa	-1.281	0.100	1.047	-0.057	2.254
GCF_000196875.1_ASM19687v1_protein.faa.named.faa	0.810	2.708	3.359	5.410	14.065
GCF_000007745.1_ASM774v1_protein.faa.named.faa	3.181	3.636	1.836	6.168	8.848
GCF_000299395.1_ASM29939v1_protein.faa.named.faa	3.108	5.773	2.524	2.492	9.997
GCF_000013165.1_ASM1316v1_protein.faa.named.faa	0.869	0.640	1.293	3.927	7.083
GCF_000014265.1_ASM1426v1_protein.faa.named.faa	3.225	12.490	7.247	4.281	16.266
GCF_000422085.1_ASM42208v1_protein.faa.named.faa	2.038	5.614	3.652	5.993	15.398
GCF_000319385.1_ASM31938v1_protein.faa.named.faa	-0.420	2.004	2.342	3.430	7.353
GCF_000143085.1_ASM14308v1_protein.faa.named.faa	1.695	11.246	3.199	7.127	15.320
GCF_000724505.1_ASM72450v1_protein.faa.named.faa	1.773	5.848	2.142	1.972	13.730
GCF_000143985.1_ASM14398v1_protein.faa.named.faa	1.734	10.693	3.575	0.723	6.697
GCF_000016605.1_ASM1660v1_protein.faa.named.faa	6.350	5.034	2.660	2.136	11.424
GCF_000024385.1_ASM2438v1_protein.faa.named.faa	2.423	4.359	3.671	2.494	15.580
GCF_000262305.1_ASM26230v1_protein.faa.named.faa	3.288	5.540	2.669	6.123	15.331
GCF_000941055.1_ASM94105v1_protein.faa.named.faa	-0.640	0.861	3.350	3.809	9.734
GCF_000147355.1_ASM14735v1_protein.faa.named.faa	7.307	6.194	3.450	6.867	12.374
GCF_000146065.2_ASM14606v1_protein.faa.named.faa	1.150	0.544	-1.026	0.865	4.359
GCF_001026985.1_ASM102698v1_protein.faa.named.faa	1.509	5.474	3.003	6.604	15.415
GCF_000013365.1_ASM1336v1_protein.faa.named.faa	0.511	8.953	7.657	7.785	17.241
GCF_000092885.1_ASM9288v1_protein.faa.named.faa	-1.358	16.016	5.929	3.417	18.072
GCF_001028085.1_ASM102808v1_protein.faa.named.faa	2.328	2.604	3.827	4.021	12.153
GCF_000237995.1_ASM23799v2_protein.faa.named.faa	-1.192	1.310	1.233	0.274	2.473
GCF_000163055.2_ASM16305v2_protein.faa.named.faa	0.631	1.348	0.465	3.847	5.266
GCF_000214415.1_ASM21441v1_protein.faa.named.faa	5.834	74.455	4.981	0.512	8.153
GCF_000015585.1_ASM1558v1_protein.faa.named.faa	4.223	9.797	4.419	7.569	13.748
GCF_000597885.1_ASM59788v1_protein.faa.named.faa	-0.457	2.346	3.393	5.310	13.831
GCF_000015745.1_ASM1574v1_protein.faa.named.faa	2.891	4.796	3.220	4.021	12.816
GCF_000021365.1_ASM2136v1_protein.faa.named.faa	1.176	3.811	2.862	4.898	15.598
GCF_000196895.1_ASM19689v1_protein.faa.named.faa	1.360	9.306	3.074	2.595	13.679
GCF_000147715.2_ASM14771v3_protein.faa.named.faa	1.812	3.015	0.167	0.464	5.897
GCF_000956175.1_ASM95617v1_protein.faa.named.faa	2.778	5.751	2.739	2.568	9.748
GCF_000828655.1_ASM82865v1_protein.faa.named.faa	3.320	2.861	0.042	0.536	4.180
GCF_000253155.1_ASM25315v1_protein.faa.named.faa	-1.674	0.100	0.500	0.731	2.098
GCF_000247715.1_ASM24771v1_protein.faa.named.faa	0.889	3.451	4.729	2.637	14.831
GCF_000024505.1_ASM2450v1_protein.faa.named.faa	0.533	1.855	1.842	3.704	7.228
GCF_000219915.2_ASM21991v3_protein.faa.named.faa	-0.185	3.703	0.923	1.849	11.197
GCF_000196315.1_ASM19631v1_protein.faa.named.faa	-1.846	-1.752	1.738	4.457	5.816
GCF_000092845.1_ASM9284v1_protein.faa.named.faa	-0.017	5.997	0.088	1.633	5.232
GCF_000006845.1_ASM684v1_protein.faa.named.faa	0.099	2.063	0.928	3.012	10.204
GCF_000512205.2_ASM51220v2_protein.faa.named.faa	-1.133	7.275	5.975	7.018	17.273
GCF_000026005.1_ASM2600v1_protein.faa.named.faa	0.533	2.128	2.021	3.704	7.343
GCF_000829965.1_ASM82996v1_protein.faa.named.faa	2.005	7.818	5.234	3.918	16.583
GCF_000010425.1_ASM1042v1_protein.faa.named.faa	0.752	0.668	1.413	0.801	2.946
GCF_000355695.1_ASM35569v1_protein.faa.named.faa	-3.098	-1.379	3.109	2.287	9.569
GCF_000512735.1_ASM51273v1_protein.faa.named.faa	6.715	5.828	3.951	7.246	13.314
GCF_000747315.1_ASM74731v1_protein.faa.named.faa	-1.962	-0.940	4.497	2.889	8.597
GCF_000022025.1_ASM2202v1_protein.faa.named.faa	-2.969	0.865	3.489	2.363	13.109
GCF_000006605.1_ASM660v1_protein.faa.named.faa	-3.081	0.839	3.723	2.287	8.250
GCF_000973105.1_ASM97310v1_protein.faa.named.faa	0.845	4.423	3.574	5.188	11.599
GCF_001298525.1_ASM129852v1_protein.faa.named.faa	1.313	2.812	2.702	3.588	11.735
GCF_001281115.1_ASM128111v1_protein.faa.named.faa	-0.464	2.511	3.293	2.816	13.041
GCF_000017805.1_ASM1780v1_protein.faa.named.faa	5.094	7.547	5.099	5.518	14.338
GCF_000284035.1_ASM28403v1_protein.faa.named.faa	-1.225	2.653	3.325	2.246	15.350
GCF_000015785.1_ASM1578v1_protein.faa.named.faa	2.106	1.191	3.424	3.519	12.781
GCF_000761215.1_ASM76121v1_protein.faa.named.faa	-1.679	1.728	3.772	2.718	15.396
GCF_000319225.1_ASM31922v1_protein.faa.named.faa	0.677	4.729	0.878	-0.057	6.378
GCF_000494755.1_ASM49475v1_protein.faa.named.faa	1.987	2.378	3.565	2.738	15.974
GCF_000762265.1_ASM76226v1_protein.faa.named.faa	4.950	73.918	4.475	0.601	8.393
GCF_000775995.1_ASM77599v1_protein.faa.named.faa	0.276	0.741	-0.688	0.322	2.742
GCF_000212375.1_ASM21237v1_protein.faa.named.faa	-0.526	4.921	-0.212	1.506	3.765
GCF_000007945.1_ASM794v1_protein.faa.named.faa	3.638	1.623	0.131	4.461	5.653
GCF_000020985.1_ASM2098v1_protein.faa.named.faa	10.452	13.867	3.484	6.546	11.600
GCF_001275345.1_ASM127534v1_protein.faa.named.faa	-1.950	0.169	3.383	1.945	11.032
GCF_000145615.1_ASM14561v1_protein.faa.named.faa	2.894	6.806	4.361	0.852	8.688
GCF_000235565.1_ASM23556v1_protein.faa.named.faa	6.791	75.396	4.648	0.794	9.503
GCF_000204415.1_ASM20441v1_protein.faa.named.faa	5.316	74.316	4.487	0.757	11.024
GCF_000013225.1_ASM1322v1_protein.faa.named.faa	3.305	11.596	7.180	3.442	13.650
GCF_000025185.1_ASM2518v1_protein.faa.named.faa	0.666	14.288	3.731	6.251	15.440
GCF_000211855.2_ASM21185v3_protein.faa.named.faa	-2.263	-0.177	2.587	3.171	7.286
GCF_000015545.1_ASM1554v1_protein.faa.named.faa	0.601	3.863	3.296	6.670	15.786
GCF_000600105.1_ASM60010v1_protein.faa.named.faa	2.911	3.875	2.403	4.578	10.790
GCF_000152945.2_ASM15294v2_protein.faa.named.faa	-0.759	-0.056	3.680	3.467	7.982
GCF_000522545.2_ASM52254v2_protein.faa.named.faa	-1.608	15.419	4.502	4.699	17.036
GCF_000018365.1_ASM1836v1_protein.faa.named.faa	7.897	10.996	-0.502	0.209	6.329
GCF_001483945.1_ASM148394v1_protein.faa.named.faa	-0.260	5.494	6.146	5.378	17.728
GCF_000063485.1_ASM6348v1_protein.faa.named.faa	-3.596	-0.519	2.906	2.287	9.452
GCF_000818035.1_ASM81803v1_protein.faa.named.faa	-0.585	2.227	2.260	4.029	11.597
GCF_000757865.1_ASM75786v1_protein.faa.named.faa	2.684	5.276	8.378	3.421	11.138
GCF_000090965.1_ASM9096v1_protein.faa.named.faa	1.626	0.592	1.527	1.078	5.765
GCF_000316175.1_ASM31617v1_protein.faa.named.faa	1.762	3.755	3.473	6.555	15.609
GCF_000389965.1_ASM38996v1_protein.faa.named.faa	1.827	2.708	3.664	2.718	15.686
GCF_001611795.1_ASM161179v1_protein.faa.named.faa	-0.810	3.317	3.521	3.113	15.563
GCF_000017305.1_ASM1730v1_protein.faa.named.faa	-0.917	0.972	4.014	2.287	12.371
GCF_000317105.1_ASM31710v1_protein.faa.named.faa	2.574	11.030	6.577	4.636	15.347
GCF_000737575.1_ASM73757v1_protein.faa.named.faa	1.908	4.494	8.576	3.497	13.804
GCF_000241875.1_ASM24187v1_protein.faa.named.faa	1.673	1.550	3.092	2.308	8.179
GCF_001553935.1_ASM155393v1_protein.faa.named.faa	0.735	3.141	2.313	1.502	10.028
GCF_000022125.1_ASM2212v1_protein.faa.named.faa	10.472	6.388	1.734	4.951	9.530
GCF_000184345.1_ASM18434v2_protein.faa.named.faa	0.950	5.155	2.736	1.677	7.134
GCF_000024185.1_ASM2418v1_protein.faa.named.faa	5.288	69.653	3.810	0.654	7.347
GCF_000511405.1_ASM51140v1_protein.faa.named.faa	3.381	5.065	4.594	4.133	13.015
GCF_001579905.1_ASM157990v1_protein.faa.named.faa	1.663	5.170	4.550	7.780	16.848
GCF_000758525.1_ASM75852v1_protein.faa.named.faa	2.670	4.693	5.453	3.848	13.122
GCF_000146165.2_ASM14616v2_protein.faa.named.faa	2.292	5.151	2.886	9.529	14.326
GCF_000017885.4_ASM1788v4_protein.faa.named.faa	1.283	0.472	3.713	3.552	11.588
GCF_000011305.1_ASM1130v1_protein.faa.named.faa	-1.407	0.307	4.304	2.360	10.002
GCF_000342265.1_ASM34226v1_protein.faa.named.faa	1.609	6.001	3.211	4.660	13.691
GCF_000183155.1_ASM18315v1_protein.faa.named.faa	-0.130	-0.641	0.906	6.397	8.607
GCF_000092205.1_ASM9220v1_protein.faa.named.faa	10.212	13.809	4.115	4.697	13.348
GCF_001431725.1_ASM143172v1_protein.faa.named.faa	0.170	3.497	3.231	6.826	16.110
GCF_000517405.1_ASM51740v1_protein.faa.named.faa	1.366	2.850	1.639	1.875	8.696
GCF_000347635.1_ASM34763v1_protein.faa.named.faa	-1.224	2.263	4.684	7.305	12.526
GCF_001186335.1_ASM118633v1_protein.faa.named.faa	0.821	3.431	3.359	5.507	15.394
GCF_000196095.1_ASM19609v1_protein.faa.named.faa	0.854	2.978	3.053	9.904	11.832
GCF_000510265.1_ASM51026v1_protein.faa.named.faa	-0.420	2.318	2.419	3.207	7.641
GCF_000237145.1_ASM23714v1_protein.faa.named.faa	1.860	2.503	3.565	2.860	16.110
GCF_001586155.1_ASM158615v1_protein.faa.named.faa	1.555	3.449	3.311	6.838	15.954
GCF_000008325.1_ASM832v1_protein.faa.named.faa	4.140	18.303	6.648	7.768	19.030
GCF_000376585.1_ASM37658v1_protein.faa.named.faa	0.779	2.476	2.170	3.489	7.268
GCF_000224675.1_ASM22467v1_protein.faa.named.faa	1.410	5.848	2.142	1.972	13.313
GCF_000092305.1_ASM9230v1_protein.faa.named.faa	7.717	74.966	4.981	0.712	7.911
GCF_000305935.1_ASM30593v1_protein.faa.named.faa	5.806	18.119	3.459	3.012	9.233
GCF_001439585.2_ASM143958v2_protein.faa.named.faa	1.255	3.673	4.080	3.508	13.611
GCF_000007785.1_ASM778v1_protein.faa.named.faa	0.694	1.379	0.225	0.607	4.071
GCF_000699505.1_ASM69950v1_protein.faa.named.faa	-2.177	-0.053	3.474	3.085	7.322
GCF_000006725.1_ASM672v1_protein.faa.named.faa	-0.594	3.680	4.131	4.487	12.667
GCF_000017245.1_ASM1724v1_protein.faa.named.faa	3.854	3.498	1.680	5.529	9.374
GCF_000758645.1_ASM75864v1_protein.faa.named.faa	3.611	5.326	6.115	3.597	13.798
GCF_001273775.1_ASM127377v1_protein.faa.named.faa	2.505	5.297	3.852	7.532	16.129
