
	sulfur	carbon	oxygen	iron	nitrogen	<sulfur comp>	sulfur_1	sulfur_2	sulfur_3	sulfur_4	sulfur_5	sulfur_6	sulfur_7	sulfur_8	sulfur_9	sulfur_10	sulfur_11	sulfur_12	sulfur_13	sulfur_14	sulfur_15	sulfur_16	sulfur_17	sulfur_18	sulfur_19	sulfur_20	sulfur_21	sulfur_22	sulfur_23	sulfur_24	sulfur_25	sulfur_26	sulfur_27	sulfur_28	sulfur_29	<carbon comp>	carbon_1	carbon_2	carbon_3	carbon_4	carbon_5	carbon_6	carbon_7	carbon_8	carbon_9	carbon_10	carbon_12	carbon_13
4487624.3.faa	5.845	10.709	6.531	8.635	17.884	80.4	88.9	60.0	100.0	70.6	60.0	55.0	77.8	100.0	100.0	65.0	55.2	100.0	100.0	100.0	71.4	50.0	91.7	100.0	85.7	57.1	0.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	75.0	46.6	87.5	50.0	100.0	0.0	50.0	50.0	64.3	33.3	14.3	84.6	25.0	0.0
4443762.3.faa	1.188	9.122	7.319	3.474	12.362	49.9	22.2	40.0	0.0	47.1	40.0	30.0	55.6	0.0	80.0	55.0	31.0	0.0	33.3	100.0	50.0	25.0	50.0	42.9	71.4	42.9	0.0	42.9	63.6	100.0	100.0	100.0	100.0	100.0	25.0	34.5	62.5	16.7	100.0	9.1	25.0	50.0	57.1	0.0	14.3	53.8	25.0	0.0
4440060.4.faa	1.047	7.701	8.482*	5.203	15.646	56.3	55.6	30.0	50.0	35.3	35.0	30.0	33.3	100.0	80.0	55.0	31.0	0.0	100.0	100.0	42.9	31.2	66.7	57.1	71.4	28.6	0.0	42.9	72.7	100.0	100.0	100.0	100.0	50.0	33.3	34.8	50.0	25.0	83.3	0.0	25.0	50.0	21.4	66.7	14.3	69.2	12.5	0.0
4449206.3.faa	5.856	14.253	7.160	3.957	16.082	76.4	88.9	40.0	100.0	52.9	60.0	40.0	66.7	100.0	100.0	60.0	48.3	100.0	100.0	100.0	71.4	50.0	91.7	100.0	85.7	57.1	0.0	71.4	63.6	100.0	100.0	100.0	100.0	100.0	66.7	41.3	62.5	50.0	100.0	9.1	25.0	50.0	78.6	0.0	14.3	69.2	37.5	0.0
4449590.3.faa	4.880	19.624	6.447	6.901	16.208	72.0	77.8	30.0	100.0	64.7	60.0	50.0	55.6	100.0	100.0	60.0	44.8	0.0	100.0	100.0	64.3	43.8	91.7	85.7	85.7	57.1	0.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	50.0	51.8	87.5	50.0	100.0	18.2	50.0	50.0	78.6	66.7	14.3	69.2	37.5	0.0
4443747.3.faa	0.378	4.295	2.456	0.542	3.722	22.6	11.1	20.0	0.0	17.6	25.0	10.0	44.4	0.0	40.0	25.0	10.3	0.0	66.7	50.0	14.3	18.8	8.3	14.3	42.9	14.3	0.0	28.6	36.4	0.0	0.0	0.0	100.0	50.0	8.3	8.1	25.0	0.0	16.7	0.0	0.0	0.0	35.7	0.0	0.0	7.7	12.5	0.0
4449591.3.faa	3.306	14.757	6.176	6.404	16.589	73.2	55.6	60.0	100.0	64.7	60.0	55.0	77.8	100.0	100.0	60.0	44.8	0.0	100.0	100.0	57.1	56.2	91.7	100.0	85.7	42.9	0.0	71.4	81.8	100.0	100.0	100.0	100.0	100.0	58.3	47.8	87.5	33.3	100.0	18.2	50.0	50.0	64.3	66.7	14.3	76.9	12.5	0.0
4441363.3.faa	8.600	23.271	6.906	7.217	19.312*	80.8	100.0	40.0	100.0	76.5	75.0	60.0	77.8	100.0	100.0	70.0	58.6	100.0	100.0	100.0	71.4	56.2	91.7	100.0	85.7	57.1	0.0	57.1	81.8	100.0	100.0	100.0	100.0	100.0	83.3	52.0	87.5	50.0	100.0	27.3	75.0	50.0	78.6	33.3	28.6	69.2	25.0	0.0
4443746.3.faa	3.698	9.184	7.268	3.146	11.424	49.9	55.6	40.0	0.0	47.1	45.0	25.0	55.6	0.0	60.0	50.0	31.0	0.0	33.3	100.0	50.0	31.2	41.7	28.6	71.4	42.9	0.0	42.9	63.6	100.0	100.0	100.0	100.0	100.0	33.3	29.8	62.5	8.3	66.7	0.0	25.0	50.0	57.1	0.0	14.3	61.5	12.5	0.0
4454153.3.faa	8.916	18.961	6.908	9.391	19.014	84.5	100.0	70.0	100.0	76.5	75.0	60.0	77.8	100.0	100.0	60.0	72.4	100.0	100.0	100.0	71.4	62.5	100.0	100.0	85.7	71.4	0.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	100.0	56.5	87.5	58.3	100.0	18.2	75.0	50.0	71.4	66.7	28.6	84.6	37.5	0.0
