ID 	Specie 	SS	Kigdom 	Phylum 	Class 	Order 	Family 	Genus 	Guild	Category
GCF_000006905.1	Caulobacter crescentus CB15	-0.883	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Caulobacterales	 Caulobacteraceae	 Caulobacter	NS	NS
GCF_000006945.1	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	4.036	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacteriales	 Enterobacteriaceae	 Salmonella	NS	NS
GCF_000006965.1	Sinorhizobium meliloti 1021	0.443	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Rhizobiaceae	 Sinorhizobium/Ensifer group	NS	NS
GCF_000007025.1	Rickettsia conorii str. Malish 7	0.572	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rickettsiales	 Rickettsiaceae	 Rickettsieae	NS	NS
GCF_000007085.1	Caldanaerobacter subterraneus subsp. tengcongensis MB4	2.958	 Bacteria	 Firmicutes	 Clostridia	 Thermoanaerobacterales	 Thermoanaerobacteraceae	 Caldanaerobacter	NS	NS
GCF_000007105.1	Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821	-0.652	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae	 Zymomonas	NS	NS
GCF_000007125.1	Brucella melitensis bv. 1 str. 16M	-0.109	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Brucellaceae	 Brucella	NS	NS
GCF_000007145.1	Xanthomonas campestris pv. campestris str. ATCC 33913	-1.37	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Xanthomonadales	 Xanthomonadaceae	 Xanthomonas	NS	NS
GCF_000007165.1	Xanthomonas axonopodis pv. citri str. 306	-1.864	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Xanthomonadales	 Xanthomonadaceae	 Xanthomonas	NS	NS
GCF_000007205.1	Chlamydophila pneumoniae TW-183	-0.563	 Bacteria	 Chlamydiae	 Chlamydiales	 Chlamydiaceae	 Chlamydia/Chlamydophila group	 Chlamydia	NS	NS
GCF_000007245.1	Xylella fastidiosa Temecula1	-0.32	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Xanthomonadales	 Xanthomonadaceae	 Xylella	NS	NS
GCF_000007265.1	Streptococcus agalactiae 2603V/R	-1.895	 Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Streptococcaceae	 Streptococcus	NS	NS
GCF_000007325.1	Fusobacterium nucleatum subsp. nucleatum ATCC 25586	-0.228	 Bacteria	 Fusobacteria	 Fusobacteriales	 Fusobacteriaceae	 Fusobacterium	0	NS	NS
GCF_000007365.1	Buchnera aphidicola str. Sg (Schizaphis graminum)	2.079	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacteriales	 Enterobacteriaceae	 Buchnera	NS	NS
GCF_000007385.1	Xanthomonas oryzae pv. oryzae KACC 10331	-1.853	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Xanthomonadales	 Xanthomonadaceae	 Xanthomonas	NS	NS
GCF_000007465.2	Streptococcus mutans UA159	-1.379	 Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Streptococcaceae	 Streptococcus	NS	NS
GCF_000007485.1	Tropheryma whipplei str. Twist	-0.902	 Bacteria	 Actinobacteria	 Micrococcales	 Tropheryma	0	0	NS	NS
GCF_000007525.1	Bifidobacterium longum NCC2705	0.564	 Bacteria	 Actinobacteria	 Bifidobacteriales	 Bifidobacteriaceae	 Bifidobacterium	0	NS	NS
GCF_000007565.2	Pseudomonas putida KT2440	1.857	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	NS	NS
GCF_000007585.1	Porphyromonas gingivalis W83	0.104	 Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales	 Porphyromonadaceae	 Porphyromonas	NS	NS
GCF_000007605.1	Chlamydophila caviae GPIC	-0.418	 Bacteria	 Chlamydiae	 Chlamydiales	 Chlamydiaceae	 Chlamydia/Chlamydophila group	 Chlamydia	NS	NS
GCF_000007625.1	Clostridium tetani E88	0.691	 Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Clostridiaceae	 Clostridium	NS	NS
GCF_000007645.1	Staphylococcus epidermidis ATCC 12228	1.491	 Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Staphylococcaceae	 Staphylococcus	NS	NS
GCF_000007665.1	Leifsonia xyli subsp. xyli str. CTCB07	-2.486	 Bacteria	 Actinobacteria	 Micrococcales	 Microbacteriaceae	 Leifsonia	0	NS	NS
GCF_000007685.1	Leptospira interrogans serovar Copenhageni str. Fiocruz L1-130	0.934	 Bacteria	 Spirochaetes	 Leptospirales	 Leptospiraceae	 Leptospira	0	NS	NS
GCF_000007705.1	Chromobacterium violaceum ATCC 12472	-0.309	 Bacteria	 Proteobacteria	 Betaproteobacteria	 Neisseriales	 Chromobacteriaceae	 Chromobacterium	NS	NS
GCF_000007725.1	Buchnera aphidicola str. Bp (Baizongia pistaciae)	2.288	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacteriales	 Enterobacteriaceae	 Buchnera	NS	NS
GCF_000007745.1	Mannheimia succiniciproducens MBEL55E	3.325	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pasteurellales	 Pasteurellaceae	 Basfia	NS	NS
GCF_000007765.1	Coxiella burnetii RSA 493	1.435	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Legionellales	 Coxiellaceae	 Coxiella	NS	NS
GCF_000007785.1	Enterococcus faecalis V583	0.661	 Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Enterococcaceae	 Enterococcus	NS	NS
GCF_000007805.1	[Pseudomonas syringae] pv. tomato str. DC3000	-0.779	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	NS	NS
GCF_000007825.1	Bacillus cereus ATCC 14579	2.673	 Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Bacillaceae	 Bacillus,	NS	NS
GCF_000007845.1	Bacillus anthracis str. Ames	2.515	 Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Bacillaceae	 Bacillus,	NS	NS
GCF_000007865.1	Mycobacterium avium subsp. paratuberculosis K-10	3.084	 Bacteria	 Actinobacteria	 Corynebacteriales	 Mycobacteriaceae	 Mycobacterium,	0	NS	NS
GCF_000007905.1	Helicobacter hepaticus ATCC 51449	3.783	 Bacteria	 Proteobacteria	 Epsilonproteobacteria	 Campylobacterales	 Helicobacteraceae	 Helicobacter	NS	NS
GCF_000007925.1	Prochlorococcus marinus subsp. marinus str. CCMP1375	2.001	 Bacteria	 Cyanobacteria	 Prochlorales	 Prochlorococcaceae	 Prochlorococcus	0	NS	NS
GCF_000007945.1	Haemophilus ducreyi 35000HP	3.847	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pasteurellales	 Pasteurellaceae	 Haemophilus	NS	NS
GCF_000008005.1	Bacillus cereus ATCC 10987	1.904	 Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Bacillaceae	 Bacillus,	NS	NS
GCF_000008025.1	Wolbachia endosymbiont of Drosophila melanogaster	0.834	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rickettsiales	 Anaplasmataceae	 Wolbachieae	NS	NS
GCF_000008045.1	Rickettsia typhi str. Wilmington	0.189	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rickettsiales	 Rickettsiaceae	 Rickettsieae	NS	NS
GCF_000008065.1	Lactobacillus johnsonii NCC 533	-1.351	 Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	NS	NS
GCF_000008185.1	Treponema denticola ATCC 35405	0.452	 Bacteria	 Spirochaetes	 Spirochaetales	 Spirochaetaceae	 Treponema	0	NS	NS
GCF_000008205.1	Mycoplasma hyopneumoniae J	-0.105	 Bacteria	 Tenericutes	 Mollicutes	 Mycoplasmataceae	 Mycoplasma	0	NS	NS
GCF_000008245.1	Mycoplasma synoviae 53	-0.795	 Bacteria	 Tenericutes	 Mollicutes	 Mycoplasmataceae	 Mycoplasma	0	NS	NS
GCF_000008265.1	Picrophilus torridus DSM 9790	2.154	 Archaea	 Euryarchaeota	 Thermoplasmata	 Thermoplasmatales	 Picrophilaceae	 Picrophilus	NS	NS
GCF_000008285.1	Listeria monocytogenes serotype 4b str. F2365	0.048	 Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Listeriaceae	 Listeria	NS	NS
GCF_000008305.1	Mesoplasma florum L1	-0.864	 Bacteria	 Tenericutes	 Mollicutes	 Entomoplasmatales	 Entomoplasmataceae	 Mesoplasma	NS	NS
GCF_000008325.1	Methylococcus capsulatus str. Bath	4.401	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Methylococcales	 Methylococcaceae	 Methylococcus	NS	NS
GCF_000008345.1	Propionibacterium acnes KPA171202	2.122	 Bacteria	 Actinobacteria	 Propionibacteriales	 Propionibacteriaceae	 Propionibacterium	0	NS	NS
GCF_000008365.1	Mycoplasma mobile 163K	-0.633	 Bacteria	 Tenericutes	 Mollicutes	 Mycoplasmataceae	 Mycoplasma	0	NS	NS
GCF_000008385.1	Wolbachia endosymbiont strain TRS of Brugia malayi	0.936	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rickettsiales	 Anaplasmataceae	 Wolbachieae	NS	NS
GCF_000008425.1	Bacillus licheniformis DSM 13 = ATCC 14580	2.58	 Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Bacillaceae	 Bacillus	NS	NS
GCF_000008465.1	Idiomarina loihiensis L2TR	-1.079	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Alteromonadales	 Idiomarinaceae	 Idiomarina	NS	NS
GCF_000008485.1	Legionella pneumophila subsp. pneumophila str. Philadelphia 1	1.189	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Legionellales	 Legionellaceae	 Legionella	NS	NS
GCF_000008525.1	Helicobacter pylori 26695	2.599	 Bacteria	 Proteobacteria	 Epsilonproteobacteria	 Campylobacterales	 Helicobacteraceae	 Helicobacter	NS	NS
GCF_000008565.1	Deinococcus radiodurans R1	0.857	 Bacteria	 Deinococcus-Thermus	 Deinococci	 Deinococcales	 Deinococcaceae	 Deinococcus	NS	NS
GCF_000008585.1	Mycobacterium tuberculosis CDC1551	-0.681	 Bacteria	 Actinobacteria	 Corynebacteriales	 Mycobacteriaceae	 Mycobacterium,	0	NS	NS
GCF_000008605.1	Treponema pallidum subsp. pallidum str. Nichols	0.508	 Bacteria	 Spirochaetes	 Spirochaetales	 Spirochaetaceae	 Treponema	0	NS	NS
GCF_000008685.2	Borrelia burgdorferi B31	-0.76	 Bacteria	 Spirochaetes	 Spirochaetales	 Borreliaceae	 Borreliella	0	NS	NS
GCF_000008725.1	Chlamydia trachomatis D/UW-3/CX	-0.484	 Bacteria	 Chlamydiae	 Chlamydiales	 Chlamydiaceae	 Chlamydia/Chlamydophila group	 Chlamydia	NS	NS
GCF_000008765.1	Clostridium acetobutylicum ATCC 824	1.084	 Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Clostridiaceae	 Clostridium	NS	NS
GCF_000008785.1	Helicobacter pylori J99	2.142	 Bacteria	 Proteobacteria	 Epsilonproteobacteria	 Campylobacterales	 Helicobacteraceae	 Helicobacter	NS	NS
GCF_000008805.1	Neisseria meningitidis MC58	-0.014	 Bacteria	 Proteobacteria	 Betaproteobacteria	 Neisseriales	 Neisseriaceae	 Neisseria	NS	NS
GCF_000008885.1	Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis	-0.72	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacteriales	 Enterobacteriaceae	 Wigglesworthia	NS	NS
GCF_000008925.1	Lactobacillus salivarius UCC118	-1.337	 Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	NS	NS
GCF_000008985.1	Francisella tularensis subsp. tularensis SCHU S4	0.116	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Thiotrichales	 Francisellaceae	 Francisella	NS	NS
GCF_000009005.1	Staphylococcus aureus RF122	-0.067	 Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Staphylococcaceae	 Staphylococcus	NS	NS
GCF_000009045.1	Bacillus subtilis subsp. subtilis str. 168	2.289	 Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Bacillaceae	 Bacillus	NS	NS
GCF_000009125.1	Ralstonia solanacearum GMI1000	1.045	 Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Ralstonia	NS	NS
GCF_000009145.1	Nitrosomonas europaea ATCC 19718	-1.745	 Bacteria	 Proteobacteria	 Betaproteobacteria	 Nitrosomonadales	 Nitrosomonadaceae	 Nitrosomonas	NS	NS
GCF_000009165.1	Xanthomonas campestris pv. vesicatoria str. 85-10	-1.075	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Xanthomonadales	 Xanthomonadaceae	 Xanthomonas	NS	NS
GCF_000009185.1	Haloquadratum walsbyi DSM 16790	0.542	 Archaea	 Euryarchaeota	 Halobacteria	 Haloferacales	 Haloferacaceae	 Haloquadratum	NS	NS
GCF_000009205.1	Clostridioides difficile 630	1.48	 Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Peptostreptococcaceae	 Peptoclostridium	NS	NS
GCF_000009225.2	Pseudomonas fluorescens SBW25	-1.224	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	NS	NS
GCF_000009285.1	Ralstonia eutropha H16	1.879	 Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Cupriavidus	NS	NS
GCF_000009305.1	Helicobacter acinonychis str. Sheeba	1.238	 Bacteria	 Proteobacteria	 Epsilonproteobacteria	 Campylobacterales	 Helicobacteraceae	 Helicobacter	NS	NS
GCF_000009345.1	Yersinia enterocolitica subsp. enterocolitica 8081	2.338	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacteriales	 Enterobacteriaceae	 Yersinia	NS	NS
GCF_000009365.1	Alcanivorax borkumensis SK2	2.077	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Oceanospirillales	 Alcanivoracaceae	 Alcanivorax	NS	NS
GCF_000009405.1	Staphylococcus carnosus subsp. carnosus TM300	2.341	 Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Staphylococcaceae	 Staphylococcus	NS	NS
GCF_000009425.1	Lactococcus lactis subsp. cremoris MG1363	-0.229	 Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Streptococcaceae	 Lactococcus	NS	NS
GCF_000009485.1	Burkholderia cenocepacia J2315	-0.739	 Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Burkholderia,	NS	NS
GCF_000009545.1	Streptococcus uberis 0140J	-1.757	 Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Streptococcaceae	 Streptococcus	NS	NS
GCF_000009605.1	Buchnera aphidicola str. APS (Acyrthosiphon pisum)	2.177	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacteriales	 Enterobacteriaceae	 Buchnera	NS	NS
GCF_000009625.1	Mesorhizobium loti MAFF303099	-0.394	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Phyllobacteriaceae	 Mesorhizobium	NS	NS
GCF_000009685.1	Clostridium perfringens str. 13	2.343	 Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Clostridiaceae	 Clostridium	NS	NS
GCF_000009705.1	Nostoc sp. PCC 7120	3.37	 Bacteria	 Cyanobacteria	 Nostocales	 Nostocaceae	 Nostoc	0	NS	NS
GCF_000009745.1	Vibrio vulnificus YJ016	1.012	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Vibrionales	 Vibrionaceae	 Vibrio	NS	NS
GCF_000009765.2	Streptomyces avermitilis MA-4680 = NBRC 14893	-0.514	 Bacteria	 Actinobacteria	 Streptomycetales	 Streptomycetaceae	 Streptomyces	0	NS	NS
GCF_000009785.1	Geobacillus kaustophilus HTA426	2.784	 Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Bacillaceae	 Geobacillus	NS	NS
GCF_000009805.1	Nocardia farcinica IFM 10152	-1.319	 Bacteria	 Actinobacteria	 Corynebacteriales	 Nocardiaceae	 Nocardia	0	NS	NS
GCF_000009825.1	Bacillus clausii KSM-K16	1.924	 Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Bacillaceae	 Bacillus	NS	NS
GCF_000009845.1	Onion yellows phytoplasma OY-M	0.029	 Bacteria	 Tenericutes	 Mollicutes	 Acholeplasmatales	 Acholeplasmataceae	 Candidatus Phytoplasma,	NS	NS
GCF_000009865.1	Staphylococcus haemolyticus JCSC1435	2.851	 Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Staphylococcaceae	 Staphylococcus	NS	NS
GCF_000009885.1	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044	1.476	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacteriales	 Enterobacteriaceae	 Klebsiella	NS	NS
GCF_000009925.1	Bacteroides fragilis YCH46	0.319	 Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales	 Bacteroidaceae	 Bacteroides	NS	NS
GCF_000009945.1	Chlamydia felis Fe/C-56	-0.459	 Bacteria	 Chlamydiae	 Chlamydiales	 Chlamydiaceae	 Chlamydia/Chlamydophila group	 Chlamydia	NS	NS
GCF_000010005.1	Lactobacillus reuteri JCM 1112	1.275	 Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	NS	NS
GCF_000010065.1	Synechococcus elongatus PCC 6301	3.601	 Bacteria	 Cyanobacteria	 Oscillatoriophycideae	 Chroococcales	 Synechococcus	0	NS	NS
GCF_000010085.1	Sodalis glossinidius str. 'morsitans'	0.418	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacteriales	 Enterobacteriaceae	 Sodalis	NS	NS
GCF_000010105.1	Rhodococcus erythropolis PR4	1.027	 Bacteria	 Actinobacteria	 Corynebacteriales	 Nocardiaceae	 Rhodococcus	0	NS	NS
GCF_000010125.1	Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305	0.589	 Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Staphylococcaceae	 Staphylococcus	NS	NS
GCF_000010145.1	Lactobacillus fermentum IFO 3956	0.427	 Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	NS	NS
GCF_000010165.1	Brevibacillus brevis NBRC 100599	2.02	 Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Paenibacillaceae	 Brevibacillus	NS	NS
GCF_000010185.1	Finegoldia magna ATCC 29328	0.586	 Bacteria	 Firmicutes	 Tissierellia	 Tissierellales	 Peptoniphilaceae	 Finegoldia	NS	NS
GCF_000010205.1	Orientia tsutsugamushi str. Ikeda	0.809	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rickettsiales	 Rickettsiaceae	 Rickettsieae	NS	NS
GCF_000010225.1	Corynebacterium glutamicum R	-1.713	 Bacteria	 Actinobacteria	 Corynebacteriales	 Corynebacteriaceae	 Corynebacterium	0	NS	NS
GCF_000010265.1	Clostridium kluyveri NBRC 12016	0.279	 Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Clostridiaceae	 Clostridium	NS	NS
GCF_000010285.1	Kocuria rhizophila DC2201	-0.452	 Bacteria	 Actinobacteria	 Micrococcales	 Micrococcaceae	 Kocuria	0	NS	NS
GCF_000010305.1	Gemmatimonas aurantiaca T-27	1.47	 Bacteria	 Gemmatimonadetes	 Gemmatimonadales	 Gemmatimonadaceae	 Gemmatimonas	0	NS	NS
GCF_000010425.1	Bifidobacterium adolescentis ATCC 15703	0.745	 Bacteria	 Actinobacteria	 Bifidobacteriales	 Bifidobacteriaceae	 Bifidobacterium	0	NS	NS
GCF_000010525.1	Azorhizobium caulinodans ORS 571	1.741	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Xanthobacteraceae	 Azorhizobium	NS	NS
GCF_000010545.1	Burkholderia multivorans ATCC 17616	-0.082	 Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Burkholderia,	NS	NS
GCF_000010585.1	Macrococcus caseolyticus JCSC5402	0.455	 Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Staphylococcaceae	 Macrococcus	NS	NS
GCF_000010605.1	Streptomyces griseus subsp. griseus NBRC 13350	-0.948	 Bacteria	 Actinobacteria	 Streptomycetales	 Streptomycetaceae	 Streptomyces	0	NS	NS
GCF_000010625.1	Microcystis aeruginosa NIES-843	2.745	 Bacteria	 Cyanobacteria	 Oscillatoriophycideae	 Chroococcales	 Microcystis	0	NS	NS
GCF_000010645.1	Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2	2.965	 Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales	 Candidatus Azobacteroides	0	NS	NS
GCF_000010705.1	Streptococcus dysgalactiae subsp. equisimilis GGS_124	-1.716	 Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Streptococcaceae	 Streptococcus	NS	NS
GCF_000010725.1	Azospirillum sp. B510	1.064	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodospirillales	 Rhodospirillaceae	 Azospirillum	NS	NS
GCF_000010805.1	Rhodococcus opacus B4	1.322	 Bacteria	 Actinobacteria	 Corynebacteriales	 Nocardiaceae	 Rhodococcus	0	NS	NS
GCF_000010825.1	Acetobacter pasteurianus IFO 3283-01	-0.421	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodospirillales	 Acetobacteraceae	 Acetobacter	NS	NS
GCF_000011025.1	Rothia mucilaginosa DY-18	0.261	 Bacteria	 Actinobacteria	 Micrococcales	 Micrococcaceae	 Rothia	0	NS	NS
GCF_000011045.1	Lactobacillus rhamnosus GG	-0.964	 Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	NS	NS
GCF_000011065.1	Bacteroides thetaiotaomicron VPI-5482	-0.387	 Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales	 Bacteroidaceae	 Bacteroides	NS	NS
GCF_000011085.1	Haloarcula marismortui ATCC 43049	2.576	 Archaea	 Euryarchaeota	 Halobacteria	 Halobacteriales	 Halobacteriaceae	 Haloarcula	NS	NS
GCF_000011145.1	Bacillus halodurans C-125	1.463	 Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Bacillaceae	 Bacillus	NS	NS
GCF_000011225.1	Mycoplasma penetrans HF-2	-0.048	 Bacteria	 Tenericutes	 Mollicutes	 Mycoplasmataceae	 Mycoplasma	0	NS	NS
GCF_000011245.1	Oceanobacillus iheyensis HTE831	0.7	 Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Bacillaceae	 Oceanobacillus	NS	NS
GCF_000011305.1	Corynebacterium efficiens YS-314	-1.31	 Bacteria	 Actinobacteria	 Corynebacteriales	 Corynebacteriaceae	 Corynebacterium	0	NS	NS
GCF_000011345.1	Thermosynechococcus elongatus BP-1	3.075	 Bacteria	 Cyanobacteria	 Oscillatoriophycideae	 Chroococcales	 Thermosynechococcus	0	NS	NS
GCF_000011365.1	Bradyrhizobium diazoefficiens USDA 110	2.474	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Bradyrhizobiaceae	 Bradyrhizobium	NS	NS
GCF_000011385.1	Gloeobacter violaceus PCC 7421	2.282	 Bacteria	 Cyanobacteria	 Gloeobacteria	 Gloeobacterales	 Gloeobacter	0	NS	NS
GCF_000011445.1	Mycoplasma mycoides subsp. mycoides SC str. PG1	-0.7	 Bacteria	 Tenericutes	 Mollicutes	 Mycoplasmataceae	 Mycoplasma	0	NS	NS
GCF_000011465.1	Prochlorococcus marinus subsp. pastoris str. CCMP1986	1.9	 Bacteria	 Cyanobacteria	 Prochlorales	 Prochlorococcaceae	 Prochlorococcus	0	NS	NS
GCF_000011485.1	Prochlorococcus marinus str. MIT 9313	2.839	 Bacteria	 Cyanobacteria	 Prochlorales	 Prochlorococcaceae	 Prochlorococcus	0	NS	NS
GCF_000011545.1	Burkholderia pseudomallei K96243	-1.153	 Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Burkholderia	NS	NS
GCF_000011605.1	Pectobacterium atrosepticum SCRI1043	2.967	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacteriales	 Enterobacteriaceae	 Pectobacterium	NS	NS
