Accesion 	SS	SS_pos	SS_2014
GCF_000340795.1	-0.073	2.48	3.082
GCF_000018205.1	0.078	2.491	2.427
GCF_000496595.1	0.163	2.511	2.373
GCF_000283615.1	0.315	2.513	3.77
GCF_000023465.1	-2.099	2.536	4.521
GCF_000265385.1	-2.043	2.54	4.028
GCF_000219355.1	0.261	2.559	2.456
GCF_000022525.1	1.245	2.589	2.616
GCF_000024925.1	-2.2	2.64	4.065
GCF_000157355.2	-0.123	2.647	3.099
GCF_000046705.1	-0.102	2.649	2.889
GCF_000341385.1	-0.276	2.649	2.889
GCF_000284155.1	0.618	2.652	2.542
GCF_000183665.1	0.135	2.667	2.508
GCF_000202635.1	-2.292	2.685	4.256
GCF_000024505.1	0.569	2.686	3.221
GCF_000012565.1	0.569	2.686	2.616
GCF_000013145.1	0.569	2.686	2.616
GCF_000026005.1	0.569	2.686	2.647
GCF_000022725.1	-0.349	2.699	2.976
GCF_000196435.1	-0.072	2.699	2.976
GCF_000403645.1	-1.631	2.713	3.8
GCF_000012145.1	0.125	2.724	2.542
GCF_000090965.1	1.584	2.727	2.801
GCF_000299435.1	-2.123	2.729	3.66
GCF_000019905.1	-2.123	2.729	3.66
GCF_000496635.1	-2.123	2.729	3.691
GCF_000008185.1	0.452	2.746	3.682
GCF_000261025.1	-0.053	2.75	3.084
GCF_000325745.1	0.388	2.752	2.933
GCF_000230275.1	-0.359	2.778	3.324
GCF_000418365.1	-2.545	2.778	3.781
GCF_000212375.1	-0.323	2.797	3.572
GCF_000025925.1	-0.498	2.816	3.614
GCF_000319385.1	-0.319	2.818	2.877
GCF_000332115.1	-1.461	2.83	3.724
GCF_000179395.2	-2.568	2.851	4.228
GCF_000092825.1	-2.287	2.851	4.228
GCF_000007325.1	-0.228	2.872	3.207
GCF_000215105.1	-2.009	2.888	4.865
GCF_000292685.1	2.564	2.914	3.927
GCF_000242335.1	-0.465	2.92	3.305
GCF_000022105.1	-0.432	2.961	4.105
GCF_000009145.1	-1.745	2.974	3.395
GCF_000164885.1	-1.281	2.993	3.366
GCF_000226315.1	-1.206	3.016	3.591
GCF_000014765.1	-1.385	3.022	3.644
GCF_000175095.2	-0.917	3.022	3.644
GCF_000250635.1	-1.341	3.051	3.6
GCF_000271325.1	-1.594	3.081	3.831
GCF_000242595.2	0.335	3.084	3.182
GCF_000023285.1	-0.869	3.126	3.601
GCF_000017565.1	-2.493	3.156	3.736
GCF_000219175.1	1.82	3.157	3.579
GCF_000220625.1	-0.998	3.161	3.499
GCF_000163055.2	0.84	3.169	3.111
GCF_000195085.1	-0.032	3.171	3.342
GCF_000195315.1	1.605	3.192	3.598
GCF_000265465.1	-0.813	3.193	3.556
GCF_000236705.1	-1.143	3.193	3.962
GCF_000225345.1	-0.166	3.196	3.566
GCF_000006725.1	-0.511	3.204	4.139
GCF_000144605.1	-1.881	3.216	4.036
GCF_000194605.1	-1.24	3.239	4.683
GCF_000193395.1	0.368	3.258	3.335
GCF_000190595.1	-1.302	3.273	5.278
GCF_000060285.1	0.568	3.277	4.195
GCF_000144405.1	0.098	3.288	3.333
GCF_000023925.1	-1.822	3.306	5.02
GCF_000043285.1	2.062	3.311	4.051
GCF_000164695.2	-0.77	3.326	4.911
GCF_000011025.1	0.261	3.326	4.882
GCF_000021285.1	0.354	3.364	3.339
GCF_000026085.1	-1.962	3.371	3.989
GCF_000011745.1	2.125	3.374	4.051
GCF_000185985.2	2.125	3.374	4.051
GCF_000252975.1	0.047	3.374	4.331
GCF_000163895.2	0.412	3.384	3.592
GCF_000092845.1	-0.001	3.421	4.105
GCF_000147075.1	0.943	3.423	4.388
GCF_000189415.1	-0.566	3.437	4.893
GCF_000178835.2	0.558	3.444	3.997
GCF_000224085.1	-1.479	3.458	5.738
GCF_000184345.1	1.115	3.481	4.445
GCF_000152945.2	-0.702	3.483	4.673
GCF_000010185.1	0.586	3.527	3.755
GCF_000284115.1	0.45	3.531	5.976
GCF_000226625.1	-0.04	3.547	3.656
GCF_000087965.2	-1.309	3.547	4.072
GCF_000184065.1	-1.262	3.549	4.279
GCF_000204565.1	0.422	3.556	3.739
GCF_000214355.1	1.167	3.556	3.739
GCF_000010225.1	-1.713	3.559	5.148
GCF_000233915.3	-2.171	3.605	4.932
GCF_000007785.1	0.661	3.645	4.67
GCF_000024665.1	0.535	3.657	3.099
GCF_000069945.1	-0.384	3.668	5.259
GCF_000016905.1	1.149	3.717	3.779
GCF_000024105.1	0.943	3.723	3.643
GCF_000011305.1	-1.31	3.725	5.148
GCF_000190555.1	-0.976	3.744	5.608
GCF_000009305.1	1.238	3.747	3.573
GCF_000196295.1	0.102	3.748	5.016
GCF_000186225.1	0.614	3.781	4.561
GCF_000025305.1	0.705	3.785	3.853
GCF_000023825.1	-1.307	3.815	4.522
GCF_000253035.1	0.285	3.816	4.333
GCF_000153485.2	0.008	3.872	4.608
GCF_000017545.1	0.833	3.894	3.793
GCF_000348745.1	-0.373	3.899	4.941
GCF_000317875.1	1.416	3.925	4.367
GCF_000178115.2	0.689	3.928	4.809
GCF_000265505.1	-0.589	3.928	4.411
GCF_000236685.1	1.321	3.936	4.205
GCF_000317895.1	-0.524	3.98	5.049
GCF_000023785.1	-1.169	3.985	4.88
GCF_000152825.2	-0.046	3.985	4.184
GCF_000024965.1	-1.011	3.989	5.917
GCF_000311765.1	-0.287	3.996	5.168
GCF_000317305.3	-1.753	4.006	4.728
GCF_000183425.1	-0.819	4.012	5.08
GCF_000400635.2	-1.998	4.023	4.648
GCF_000348725.1	-0.272	4.028	5.075
GCF_000213235.1	0.851	4.03	4.942
GCF_000092285.1	-1.363	4.054	4.977
GCF_000145035.1	0.939	4.076	4.901
GCF_000019745.1	0.085	4.077	5.742
GCF_000265365.1	1.219	4.078	3.476
GCF_000023725.1	-0.251	4.079	4.352
GCF_000010285.1	-0.452	4.119	5.324
GCF_000253275.1	0.195	4.12	4.417
GCF_000175215.2	-1.137	4.163	4.868
GCF_000092025.1	-1.722	4.179	5.671
GCF_000299115.1	-0.12	4.182	4.564
GCF_000192635.1	-1.717	4.184	4.906
GCF_000016285.1	-1.788	4.184	4.906
GCF_000185965.1	-0.495	4.184	5.522
GCF_000499645.1	-1.717	4.184	4.906
GCF_000196235.1	-1.115	4.209	5.903
GCF_000011065.1	-0.387	4.211	4.842
GCF_000190575.1	0.67	4.228	4.248
GCF_000016265.1	-1.84	4.232	5.595
GCF_000230555.1	-1.378	4.232	5.155
GCF_000020265.1	-1.926	4.232	5.949
GCF_000021345.1	-2.008	4.232	5.155
GCF_000287335.1	1.925	4.244	4.972
GCF_000144645.1	1.776	4.267	5.058
GCF_000186265.1	-0.615	4.275	5.578
GCF_000022905.1	-0.236	4.297	6.037
GCF_000007625.1	0.691	4.303	3.67
GCF_000235405.2	1.062	4.305	3.884
GCF_000240075.2	0.43	4.332	5.239
GCF_000255135.1	2.296	4.332	4.137
GCF_000015965.1	1.609	4.34	5.261
GCF_000015665.1	2.006	4.34	5.261
GCF_000347675.2	-1.013	4.35	4.575
GCF_000214215.1	-1.77	4.351	5.801
GCF_000192865.1	-1.385	4.356	5.652
GCF_000166395.1	-0.364	4.366	4.902
GCF_000283515.1	-1.427	4.386	5.557
GCF_000013005.1	-0.991	4.399	5.239
GCF_000146065.2	1.396	4.432	4.715
GCF_000023045.1	-0.273	4.45	5.426
GCF_000265405.1	-0.69	4.451	5.726
GCF_000219585.1	0.097	4.464	4.727
GCF_000007925.1	2.001	4.464	5.261
GCF_000024125.1	0.057	4.479	5.873
GCF_000015565.1	-1.12	4.482	6.375
GCF_000013765.1	-0.574	4.493	5.536
GCF_000348785.1	-0.232	4.502	5.481
GCF_000012825.1	0.339	4.504	5.538
GCF_000046845.1	-1.177	4.519	5.728
GCF_000195275.1	2.812	4.524	4.315
GCF_000221045.1	-1.323	4.537	6.538
GCF_000009165.1	-1.075	4.537	5.346
GCF_000017285.1	-1.545	4.541	5.652
GCF_000014225.1	-1.389	4.541	5.83
GCF_000013665.1	0.049	4.575	5.73
GCF_000213805.1	-1.32	4.577	5.844
GCF_000165465.1	1.258	4.581	3.944
GCF_000328705.1	-0.685	4.587	4.568
GCF_000092225.1	-1.321	4.587	4.411
GCF_000325705.1	-0.438	4.616	6.099
GCF_000091725.1	0.88	4.617	5.914
GCF_000070465.1	-0.845	4.621	6.067
GCF_000092865.1	-0.517	4.632	5.659
GCF_000166415.1	1.532	4.669	4.387
GCF_000013325.1	-0.912	4.669	5.731
GCF_000253255.1	-0.737	4.669	5.553
GCF_000190435.1	2.133	4.676	4.005
GCF_000009805.1	-1.319	4.68	5.908
GCF_000591055.1	0.508	4.683	5.995
GCF_000015645.1	2.118	4.693	5.701
GCF_000018065.1	2.118	4.693	5.701
GCF_000011465.1	1.9	4.693	5.701
GCF_000014125.1	1.687	4.717	4.139
GCF_000019225.1	-0.523	4.719	5.771
GCF_000196355.1	0.781	4.72	4.912
GCF_000020225.1	2.28	4.744	5.218
GCF_000143885.2	-1.081	4.765	4.648
GCF_000012725.1	0.06	4.767	6.079
GCF_000185245.1	2.32	4.776	4.442
GCF_000209655.1	-1.232	4.778	6.238
GCF_000010125.1	0.589	4.797	6.065
GCF_000020145.1	2.075	4.81	4.766
GCF_000166295.1	-0.686	4.811	7.022
GCF_000269985.1	-1.13	4.813	6.28
GCF_000092885.1	-1.236	4.847	6.787
GCF_000284035.1	-1.097	4.858	6.086
GCF_000019065.1	2.73	4.86	4.517
GCF_000212415.1	2.623	4.877	4.755
GCF_000025625.1	0.552	4.882	5.199
GCF_000012325.1	-0.911	4.89	6.01
GCF_000092185.1	4.201	4.906	5.434
GCF_000023585.1	0.015	4.909	4.91
GCF_000018545.1	-0.952	4.926	5.7
GCF_000230695.2	-0.488	4.928	5.793
GCF_000009225.2	-1.224	4.94	5.844
GCF_000027225.1	0.11	4.94	5.785
GCF_000010585.1	0.455	4.958	6.256
GCF_000316685.1	1.282	4.97	6.762
GCF_000023105.1	-0.188	4.971	6.313
GCF_000010825.1	-0.421	4.974	5.863
GCF_000172995.2	0.936	4.977	6.271
GCF_000016365.1	-0.938	4.977	5.908
GCF_000283575.1	1.17	4.978	6.415
GCF_000010605.1	-0.948	4.991	6.458
GCF_000299395.1	3.256	4.998	6.094
GCF_000147835.2	-0.382	5.022	5.993
GCF_000024905.1	3.264	5.051	6.079
GCF_000010645.1	2.965	5.091	4.13
GCF_000027205.1	-0.329	5.118	5.844
GCF_000012245.1	-0.905	5.118	6.022
GCF_000147715.2	2.088	5.124	3.9
GCF_000255295.1	-0.224	5.126	7.394
GCF_000266885.1	0.651	5.129	6.868
GCF_000227705.2	0.676	5.131	6.52
GCF_000015325.1	-0.804	5.138	5.917
GCF_000442645.1	0.088	5.139	6.965
GCF_000184745.1	-1.061	5.152	6.716
GCF_000023345.1	-1.187	5.152	6.538
GCF_000012345.1	0.254	5.172	6.35
GCF_000023405.1	0.546	5.177	6.878
GCF_000008265.1	2.154	5.178	6.305
GCF_000302535.1	-0.591	5.186	6.96
GCF_000012365.1	-1.041	5.186	6.96
GCF_000226565.1	0.264	5.235	6.075
GCF_000025345.1	-0.312	5.253	6.58
GCF_000213255.1	2.109	5.261	5.611
GCF_000355675.1	-0.165	5.265	6.119
GCF_000091985.1	3.147	5.27	7.02
GCF_000023245.1	-0.327	5.283	5.659
GCF_000219915.2	-0.025	5.291	6.526
GCF_000270245.1	-0.558	5.292	7.122
GCF_000250675.2	-0.683	5.295	5.917
GCF_000013705.1	0.723	5.303	5.605
GCF_000024065.1	0.889	5.304	5.874
GCF_000241875.1	1.735	5.307	6.318
GCF_000223885.1	0.558	5.309	6.421
GCF_000072485.1	0.558	5.309	6.421
GCF_000020665.1	0.62	5.309	6.421
GCF_000183135.1	1.27	5.315	5.626
GCF_000176855.2	-0.626	5.316	6.842
GCF_000007705.1	-0.309	5.316	6.889
GCF_000801275.2	-0.521	5.32	7.38
GCF_000024005.1	-0.022	5.322	6.171
GCF_000023265.1	1.702	5.324	7.357
GCF_000359525.1	-0.549	5.33	6.277
GCF_000017405.1	-0.256	5.343	6.306
GCF_000024285.1	0.891	5.347	6.6
GCF_000185885.1	0.881	5.348	6.671
GCF_000019145.1	-0.401	5.364	6.344
GCF_000012845.1	1.504	5.365	6.072
GCF_000442435.1	-0.663	5.369	6.841
GCF_000018945.1	2.939	5.375	5.288
GCF_000222485.1	0.636	5.385	5.992
GCF_000022205.1	1.36	5.388	6.226
GCF_000092365.1	1.808	5.409	6.589
GCF_000477435.1	2.667	5.41	5.414
GCF_000023745.1	0.675	5.426	5.548
GCF_000012645.1	2.696	5.427	5.261
GCF_000014145.1	1.007	5.441	6.335
GCF_000013945.1	1.355	5.446	5.892
GCF_000019045.1	1.548	5.451	6.647
GCF_000023125.1	0.327	5.452	5.684
GCF_000331735.1	-0.039	5.47	6.944
GCF_000024025.1	-0.282	5.491	6.357
GCF_000092385.1	-0.727	5.491	6.535
GCF_000292915.1	-0.801	5.492	6.787
GCF_000212695.1	0.268	5.508	6.099
GCF_000024345.1	-0.259	5.508	6.099
GCF_000242255.2	-0.117	5.512	6.412
GCF_000214825.1	2.848	5.516	5.853
GCF_000014745.1	0.2	5.518	6.568
GCF_000299095.1	0.715	5.525	6.611
GCF_000016765.1	-0.305	5.527	5.304
GCF_000013625.1	-0.224	5.544	7.648
GCF_000503895.1	0.817	5.545	5.673
GCF_000015705.1	2.839	5.551	5.261
GCF_000011485.1	2.839	5.551	5.261
GCF_000024085.1	1.37	5.561	6.2
GCF_000014585.1	2.642	5.586	6.504
GCF_000012625.1	2.244	5.586	6.944
GCF_000012505.1	2.8	5.586	6.504
GCF_000063505.1	2.623	5.586	6.504
GCF_000024465.1	0.006	5.592	7.016
GCF_000242635.2	0.696	5.606	6.362
GCF_000009485.1	-0.739	5.614	6.276
GCF_000192845.1	0.426	5.627	6.264
GCF_000024805.1	-0.327	5.631	6.608
GCF_000317065.1	2.041	5.634	6.812
GCF_000350305.1	4.195	5.642	5.458
GCF_000244875.1	2.099	5.643	6.601
GCF_000020285.1	2.094	5.646	5.579
GCF_000284335.1	3.406	5.657	5.244
GCF_000016565.1	-0.407	5.661	6.954
GCF_000012945.1	-0.743	5.662	6.525
GCF_000015285.1	0.217	5.664	7.343
GCF_000194745.1	-0.698	5.669	7.882
GCF_000260965.1	2.643	5.672	6.068
GCF_000189775.2	3.311	5.672	5.586
GCF_000283275.1	0.03	5.673	7.754
GCF_000196895.1	1.371	5.68	7.712
GCF_000186385.1	0.876	5.683	6.914
GCF_000014245.1	0.108	5.69	7.213
GCF_000016985.1	1.871	5.695	6.33
GCF_000023065.1	2.072	5.73	6.828
GCF_000196475.1	0.527	5.733	7.333
GCF_000023025.1	0.281	5.735	5.597
GCF_000186365.1	4.675	5.748	6.289
GCF_000025905.1	2.072	5.759	7.165
GCF_000009625.1	-0.394	5.764	6.965
GCF_000152245.2	1.489	5.773	5.481
GCF_000470655.1	2.751	5.775	5.681
GCF_000247605.1	2.005	5.799	6.14
GCF_000473995.1	1.941	5.799	6.283
GCF_000281695.1	1.709	5.8	7.44
GCF_000214375.1	2.411	5.8	5.013
GCF_000177195.2	-0.151	5.805	7.236
GCF_000300255.2	4.516	5.809	6.394
GCF_000259255.1	3.468	5.815	6.335
GCF_000012685.1	0.134	5.823	7.562
GCF_000259275.1	3.51	5.827	6.447
GCF_000319575.2	1.991	5.832	7.192
GCF_000025185.1	0.754	5.833	6.428
GCF_000485905.1	2.116	5.834	6.947
GCF_000091785.1	1.136	5.848	5.157
GCF_000007945.1	3.847	5.868	7.064
GCF_000024405.1	3.011	5.875	5.555
GCF_000025645.1	3.631	5.887	5.056
GCF_000200595.1	4.062	5.902	6.61
GCF_000196095.1	0.976	5.922	7.684
GCF_000317085.1	1.796	5.926	6.563
GCF_000091125.1	0.703	5.928	6.676
GCF_000264495.1	5.004	5.928	5.634
GCF_000025085.1	1.712	5.929	7.209
GCF_000177615.2	1.048	5.931	5.278
GCF_000262325.2	-0.09	5.933	6.022
GCF_000494915.1	-0.216	5.934	7.214
GCF_000023705.1	2.217	5.937	6.88
GCF_000230995.2	-0.202	5.942	6.965
GCF_000385525.1	-0.276	5.951	7.691
GCF_000196275.1	1.213	5.952	7.177
GCF_000022645.2	-0.211	5.953	7.442
GCF_000021025.1	0.842	5.961	7.465
GCF_000016185.1	1.225	5.966	5.65
GCF_000147815.2	-0.125	5.966	7.494
GCF_000196495.1	0.879	5.97	7.741
GCF_000063525.1	2.918	5.979	6.753
GCF_000021645.1	4.243	5.992	7.049
GCF_000219105.1	0.319	6.008	8.178
GCF_000973105.1	0.898	6.008	7.178
GCF_000023185.1	-0.226	6.014	6.949
GCF_000012265.1	-0.097	6.024	6.527
GCF_000147335.1	1.229	6.042	7.713
GCF_000143225.1	0.161	6.058	6.095
GCF_000444995.1	0.276	6.058	6.854
GCF_000013025.1	1.005	6.068	6.634
GCF_000148935.1	0.501	6.072	8.005
GCF_000011245.1	0.7	6.088	6.213
GCF_000317615.1	2.819	6.092	6.821
GCF_000347595.1	2.065	6.093	7.32
GCF_000209675.1	2.898	6.098	7.468
GCF_000017705.1	0.802	6.1	7.729
GCF_000330885.1	0.121	6.111	6.047
GCF_000317555.1	1.128	6.113	6.859
GCF_000011345.1	3.075	6.113	7.24
GCF_000215705.1	0.182	6.117	7.072
GCF_000385945.1	0.189	6.128	7.35
GCF_000018665.1	0.174	6.13	8.356
GCF_000165505.1	2.505	6.13	7.172
GCF_000019925.1	-0.11	6.131	7.442
GCF_000010545.1	-0.082	6.131	6.889
GCF_000009745.1	1.012	6.148	7.978
GCF_000025265.1	0.895	6.15	7.722
GCF_000023965.1	1.831	6.154	7.549
GCF_000013985.1	0.725	6.159	6.885
GCF_000093025.1	1.466	6.16	7.116
GCF_000317575.1	2.276	6.161	7.108
GCF_000015305.1	0.247	6.162	6.8
GCF_000022565.1	1.507	6.163	5.831
GCF_000192745.1	0.27	6.165	7.499
GCF_000018325.1	2.606	6.174	5.906
GCF_000148685.1	0.285	6.179	7.337
GCF_000017265.1	0.672	6.179	6.299
GCF_000020945.1	4.493	6.182	6.812
GCF_000153165.2	1.381	6.194	8.044
GCF_000306765.2	1.773	6.202	7.798
GCF_000025685.1	1.664	6.202	7.843
GCF_000230735.2	2.457	6.202	7.049
GCF_000019285.1	2.621	6.206	5.762
GCF_000219045.1	2.448	6.206	5.762
GCF_000267545.1	0.7	6.216	8.318
GCF_000055785.1	0.918	6.25	8.005
GCF_000196615.1	0.102	6.25	7.827
GCF_000330865.1	0.279	6.25	8.005
GCF_000017145.1	0.323	6.269	6.959
GCF_000332735.1	1.857	6.282	7.694
GCF_000317835.1	1.526	6.284	7.797
GCF_000328685.1	1.75	6.285	7.144
GCF_000020685.1	1.169	6.305	7.835
GCF_000008565.1	0.857	6.305	7.617
GCF_000316605.1	2.405	6.318	7.51
GCF_000022365.1	5.281	6.335	7.106
GCF_000213215.1	3.88	6.338	6.703
GCF_000015545.1	0.59	6.353	8.178
GCF_000025885.1	3.345	6.353	6.315
GCF_000145275.1	2.268	6.358	5.731
GCF_000184705.1	2.33	6.366	7.536
GCF_000153405.2	2.197	6.377	8.279
GCF_000016645.1	0.936	6.38	6.898
GCF_000014285.1	2.116	6.402	6.303
GCF_000013085.1	0.86	6.418	7.709
GCF_000143085.1	1.955	6.421	6.853
GCF_000265425.1	2.834	6.43	7.841
GCF_000196875.1	1.033	6.44	7.501
GCF_000204925.1	3.789	6.446	7.714
GCF_000264455.2	0.62	6.457	7.524
GCF_000204295.1	0.375	6.461	8.075
GCF_000025965.1	1.427	6.479	8.17
GCF_000463015.1	0.145	6.484	8.06
GCF_000023325.1	4.176	6.49	5.761
GCF_000092925.1	0.699	6.497	7.901
GCF_000018005.1	0.905	6.508	6.022
GCF_000010305.1	1.47	6.512	6.553
GCF_000091325.1	1.567	6.534	6.733
GCF_000021365.1	1.376	6.575	9.108
GCF_000012805.1	2.116	6.582	7.289
GCF_000404225.1	5.123	6.587	6.549
GCF_000258405.1	3.028	6.596	7.711
GCF_000284275.1	0.362	6.599	7.175
GCF_000283535.1	0.785	6.619	8.179
GCF_000026125.1	1.181	6.623	8.261
GCF_000012605.1	2.984	6.623	7.141
GCF_000155675.2	0.893	6.625	8.478
GCF_000155735.2	0.581	6.625	8.478
GCF_000212735.1	1.252	6.628	7.702
GCF_000015765.1	4.358	6.64	8.165
GCF_000017885.4	1.597	6.667	7.672
GCF_000011145.1	1.463	6.67	6.832
GCF_000007905.1	3.783	6.684	7.309
GCF_000012405.1	1.853	6.684	7.772
GCF_000412695.1	0.615	6.687	7.53
GCF_000026045.1	2.738	6.691	7.409
GCF_000252445.1	1.686	6.694	7.177
GCF_000208405.1	4.672	6.711	7.138
GCF_000092425.1	1.782	6.724	8.889
GCF_000016545.1	3.995	6.733	7.739
GCF_000179915.2	2.352	6.735	7.563
GCF_000233775.1	4.225	6.74	6.584
GCF_000218895.1	1.402	6.742	7.13
GCF_000204415.1	5.25	6.753	9.32
GCF_000024785.1	0.925	6.759	6.864
GCF_000021685.1	2.181	6.784	7.959
GCF_000017585.1	4.008	6.791	7.655
GCF_000013365.1	0.807	6.799	7.33
GCF_000024985.1	2.244	6.805	8.581
GCF_000217715.1	2.254	6.809	8.196
GCF_000260985.3	3.058	6.809	8.258
GCF_000284515.1	1.496	6.813	7.456
GCF_000019945.1	1.242	6.818	8.427
GCF_000012885.1	4.368	6.829	8.474
GCF_000019205.1	4.63	6.837	7.851
GCF_000279145.1	2.878	6.843	8.524
GCF_000185905.1	0.704	6.848	7.648
GCF_000342265.1	1.723	6.852	8.202
GCF_000317495.1	2.071	6.855	6.859
GCF_000143145.1	1.594	6.857	7.58
GCF_000175935.2	0.848	6.87	8.284
GCF_000402035.1	0.962	6.873	7.399
GCF_000013745.1	1.336	6.88	8.178
GCF_000017205.1	1.081	6.887	7.827
GCF_000349845.1	1.081	6.887	7.827
GCF_000270305.1	3.233	6.888	7.391
GCF_000024945.1	3.904	6.891	7.726
GCF_000009365.1	2.077	6.894	8.472
GCF_000317675.1	3.803	6.905	7.692
GCF_000284015.1	1.58	6.907	8.085
GCF_000025325.1	1.924	6.915	7.708
GCF_000389635.1	3.184	6.916	7.946
GCF_000010165.1	2.02	6.92	7.617
GCF_000019845.1	1.18	6.926	6.6
GCF_000026105.1	0.777	6.927	7.392
GCF_000010105.1	1.027	6.94	6.96
GCF_000147695.2	3.215	6.951	6.71
